combination,word_count,frequency
đánh răng,2,373
hương vani,2,372
dinh dưỡng,2,322
sữa dinh,2,322
sữa dinh dưỡng,3,322
tã quần,2,303
sữa tắm,2,286
sữa tắm gội,3,270
tắm gội,2,270
vani sữa,2,259
bàn chải,2,251
kem đánh răng,3,197
kem đánh,2,197
đánh răng em,3,197
răng em,2,197
gội toàn,2,194
toàn thân,2,194
tắm gội toàn,3,194
gội toàn thân,3,194
hương vani sữa,3,186
sữa bột,2,182
chải đánh răng,3,176
bàn chải đánh,3,176
chải đánh,2,176
vani sữa dinh,3,172
grow plus,2,170
tã quần unidry,3,140
quần unidry,2,140
dưỡng abbott,2,126
dinh dưỡng abbott,3,126
abbott grow,2,124
lớn sunmate,2,120
người lớn,2,120
người lớn sunmate,3,120
thân carrie junior,3,117
thân carrie,2,117
carrie junior,2,117
toàn thân carrie,3,117
sữa bột nutifood,3,99
bột nutifood,2,99
x sữa,2,96
hương vani grow,3,85
tpdd hương,2,85
grow plus nutifood,3,85
nutifood grow,2,85
nutifood grow plus,3,85
pediasure tpdd,2,85
plus nutifood x,3,85
vani grow plus,3,85
pediasure tpdd hương,3,85
tpdd hương vani,3,85
vani grow,2,85
plus nutifood,2,85
nutifood x,2,85
dưỡng abbott grow,3,84
l tã,2,84
l tã quần,3,82
pha sẵn,2,81
tã dán người,3,80
tã dán,2,80
dán người,2,80
dán người lớn,3,80
junior hương,2,78
carrie junior hương,3,78
giao màu ngẫu,3,77
johnson s,2,77
màu ngẫu,2,77
ngẫu nhiên,2,77
màu ngẫu nhiên,3,77
giao màu,2,77
tắm gội em,3,76
gội em,2,76
quần bobby,2,75
chải cho,2,75
cho bé,2,75
bé tuổi,2,75
tã quần bobby,3,75
cho bé tuổi,3,75
bàn chải cho,3,75
chải cho bé,3,75
s lông,2,71
em s hương,3,70
răng em s,3,70
đánh răng s,3,70
hương dâu,2,70
x sữa dinh,3,70
s hương,2,70
em s,2,70
răng s,2,70
vani sữa bột,3,69
xl tã,2,68
răng oral clean,3,68
đánh răng oral,3,68
răng oral,2,68
xl tã quần,3,68
oral clean,2,68
siêu mềm,2,67
nutifood x sữa,3,66
tinh chất,2,55
chất sữa,2,55
tinh chất sữa,3,55
em colgate,2,52
răng em colgate,3,52
quần huggies dry,3,48
huggies dry,2,48
tã quần huggies,3,48
quần huggies,2,48
m tã,2,46
m tã quần,3,46
dưỡng nutifood grow,3,43
sẵn hương vani,3,43
dinh dưỡng nutifood,3,43
abbott grow pediasure,3,43
grow pediasure tpdd,3,43
lê xuyên,2,43
bột pha sẵn,3,43
sữa bột pha,3,43
grow plus x,3,43
á h size,3,43
xuyên á h,3,43
lê xuyên á,3,43
dép lê xuyên,3,43
pha sẵn hương,3,43
dép lê,2,43
sẵn hương,2,43
dưỡng nutifood,2,43
grow pediasure,2,43
xuyên á,2,43
á h,2,43
h size,2,43
bột pha,2,43
plus x,2,43
similac hmo,2,42
abbott similac,2,42
dưỡng abbott similac,3,42
abbott similac hmo,3,42
similac hmo hương,3,42
hmo hương vani,3,42
dưỡng similac,2,42
dinh dưỡng similac,3,42
s baby,2,42
similac eye q,3,42
eye q hương,3,42
q hương vani,3,42
m l,2,42
hmo hương,2,42
eye q,2,42
similac eye,2,42
dinh dươ ng,3,42
mắt johnson,2,42
cay mắt,2,42
không cay,2,42
thân không,2,42
dưỡng hương,2,42
sư a dinh,3,42
a dinh dươ,3,42
dươ ng pha,3,42
sunmate adp,2,42
ng pha să,3,42
