product_name,unit,final_price,marked_price,product_url,scrape_timestamp,run_id
Dép lê Xuyên Á H21 108 size 36,Đôi,49000.0,129000.0,https://winmart.vn/products/xuyen-a-h21-dep-le-10836-44--s10263668?storeGroupCode=1998&storeCode=1535,"1/20/2026, 3:28:52 PM",6a416683-502d-45b6-b14d-b019d319b895
Nước súc miệng Listerine Trẻ em hương dâu 250ml,Chai,39000.0,54000.0,https://winmart.vn/products/listerine-nsm-tre-em-huong-dau-250ml--s10161495?storeGroupCode=1998&storeCode=1535,"1/20/2026, 3:28:52 PM",6a416683-502d-45b6-b14d-b019d319b895
Sữa tắm gội toàn thân không cay mắt Johnson's Baby 500ml,Chai,129000.0,169800.0,https://winmart.vn/products/johnson-baby-sua-tam-top-to-toe-500ml--s10017376?storeGroupCode=1998&storeCode=1535,"1/20/2026, 3:28:52 PM",6a416683-502d-45b6-b14d-b019d319b895
Tã dán người lớn Sunmate ADP M/L18,Gói,129900.0,165900.0,https://winmart.vn/products/sunmate-ta-dan-nguoi-lon-adp-ml18--s10170896?storeGroupCode=1998&storeCode=1535,"1/20/2026, 3:28:52 PM",6a416683-502d-45b6-b14d-b019d319b895
Tã quần người lớn Sunmate L8,Gói,73100.0,93300.0,https://winmart.vn/products/sunmate-ta-quan-nguoi-lon-l8--s10639184?storeGroupCode=1998&storeCode=1535,"1/20/2026, 3:28:52 PM",6a416683-502d-45b6-b14d-b019d319b895
Sữa tắm gội trẻ em hằng ngày Milky Lactacyd 250ml,Chai,89900.0,111500.0,https://winmart.vn/products/lactacyd-milky-sua-tam-goi-tre-em-250ml--s10018995?storeGroupCode=1998&storeCode=1535,"1/20/2026, 3:28:52 PM",6a416683-502d-45b6-b14d-b019d319b895
Lốc 4 hộp sữa dinh dưỡng pha sẵn NutiFood Grow Plus+ vani hộp 110ml,Gói 4,34100.0,40200.0,https://winmart.vn/products/nutifood-sua-dd-grow-plus-tckm-110ml--s10010510?storeGroupCode=1998&storeCode=1535,"1/20/2026, 3:28:52 PM",6a416683-502d-45b6-b14d-b019d319b895
Sữa bột pha sẵn hương vani Grow Plus+ NutiFood lốc 4 hộp x 180ml,Gói 4,47700.0,56400.0,https://winmart.vn/products/nutifood-sdd-growplus-tckm-h.vani180ml--s10010511?storeGroupCode=1998&storeCode=1535,"1/20/2026, 3:28:52 PM",6a416683-502d-45b6-b14d-b019d319b895
Sữa dinh dưỡng NutiFood Grow Plus+ lốc 4 hộp x 110ml,Gói 4,39100.0,46000.0,https://winmart.vn/products/nutifood-sua-dd-grow-plus-110ml--s10010512?storeGroupCode=1998&storeCode=1535,"1/20/2026, 3:28:52 PM",6a416683-502d-45b6-b14d-b019d319b895
Sữa dinh dưỡng hương vani Grow Plus+ NutiFood lốc 4 hộp x 180ml,Gói 4,56800.0,67000.0,https://winmart.vn/products/nutifood-sua-dd-grow-plus-h.vani-180ml--s10010513?storeGroupCode=1998&storeCode=1535,"1/20/2026, 3:28:52 PM",6a416683-502d-45b6-b14d-b019d319b895
SPDDDPS GrowPLUS+ Ít đường hộp 110ml,Thùng,514900.0,,https://winmart.vn/products/spdddps-growplus-it-duong-hop-110ml--s10195088?storeGroupCode=1998&storeCode=1535,"1/20/2026, 3:28:52 PM",6a416683-502d-45b6-b14d-b019d319b895
PEDIASURE TPDD hương vani 180ml,Gói 4,124700.0,144300.0,https://winmart.vn/products/pediasure-tpdd-huong-vani-180ml--s10170141?storeGroupCode=1998&storeCode=1535,"1/20/2026, 3:28:52 PM",6a416683-502d-45b6-b14d-b019d319b895
Sữa Sôcôla Lúa Mạch SuSu - Lốc 6 Chai 80ml,Gói 6,23400.0,26000.0,https://winmart.vn/products/vinamilk-sua-socoa-lua-mach-susu-80ml--s10170386?storeGroupCode=1998&storeCode=1535,"1/20/2026, 3:28:52 PM",6a416683-502d-45b6-b14d-b019d319b895
Sữa tắm gội toàn thân Carrie Junior hương chery chai 700g,Chai,169900.0,189500.0,https://winmart.vn/products/carrie-junior-tam-goi-huong-chery-700g--s10318801?storeGroupCode=1998&storeCode=1535,"1/20/2026, 3:28:52 PM",6a416683-502d-45b6-b14d-b019d319b895
Sữa tắm gội toàn thân Carrie Junior hương nho chai 700g,Chai,169900.0,189500.0,https://winmart.vn/products/carrie-junior-tam-goi-huong-nho-700g--s10318803?storeGroupCode=1998&storeCode=1535,"1/20/2026, 3:28:52 PM",6a416683-502d-45b6-b14d-b019d319b895
Sữa tắm gội toàn thân Carrie Junior tinh chất sữa chai 700g,Chai,169900.0,189500.0,https://winmart.vn/products/carrie-junior-tam-goi-tinh-chat-sua-700g--s10318805?storeGroupCode=1998&storeCode=1535,"1/20/2026, 3:28:52 PM",6a416683-502d-45b6-b14d-b019d319b895
Lốc 4 hộp sữa dinh dưỡng Abbott Grow 180ml,Gói 4,72800.0,78500.0,https://winmart.vn/products/abbott-grow-sua-dinh-duong-h.vani-180ml--s10011169?storeGroupCode=1998&storeCode=1535,"1/20/2026, 3:28:52 PM",6a416683-502d-45b6-b14d-b019d319b895
PEDIASURE TPDD hương vani 110ml,Gói 4,91300.0,98500.0,https://winmart.vn/products/pediasure-tpdd-huong-vani-110ml--s10170142?storeGroupCode=1998&storeCode=1535,"1/20/2026, 3:28:52 PM",6a416683-502d-45b6-b14d-b019d319b895
