product_name,subcategory,parent_category
Lốc 4 hộp sữa tươi tiệt trùng Nutimilk100 có đường 180ml,Sữa tươi,Sữa các loại
Lốc 4 hộp sữa tươi tiệt trùng Nutimilk100 ít đường 180ml,Sữa tươi,Sữa các loại
Sữa chua hoa quả Hoff vị dâu tây vỉ 4 hộp 55g,Sữa Chua - Váng Sữa,Sữa các loại
Lốc 4 hộp thức uống dinh dưỡng Kaka cacao lúa mạch 180ml,Sữa Hạt - Sữa Đậu,Sữa các loại
Sữa tươi tiệt trùng nguyên kem Meadow Fresh hộp 1L,Sữa tươi,Sữa các loại
Sữa tươi tiệt trùng ít béo Meadow Fresh hộp 1L,Sữa tươi,Sữa các loại
Sữa tươi tiệt trùng Meadow Fresh giàu canxi hộp 1L,Sữa tươi,Sữa các loại
MEADOW FRESH Sữa tươi tách béo 1L,Sữa tươi,Sữa các loại
Sữa đậu nành Fami nguyên chất hộp 1L,Sữa Hạt - Sữa Đậu,Sữa các loại
Sữa đậu nành canxi Fami hộp 1L,Sữa Hạt - Sữa Đậu,Sữa các loại
Sữa chua uống hương cam Kun lốc 4 hộp x 180ml,Sữa Chua - Váng Sữa,Sữa các loại
Sữa chua uống lên vị vị dâu Kun lốc 4 hộp x 180ml,Sữa Chua - Váng Sữa,Sữa các loại
Váng sữa uống hương vani Zott Monte lốc 4 chai x 95ml,Sữa Chua - Váng Sữa,Sữa các loại
Lốc 6 chai sữa chua uống Vinamilk Susu hương dâu 80ml,Sữa Chua - Váng Sữa,Sữa các loại
Lốc 6 chai sữa chua uống Vinamilk Susu hương cam 80ml,Sữa Chua - Váng Sữa,Sữa các loại
Lốc 6 hộp sữa đậu nành canxi plus Fami 200ml,Sữa Hạt - Sữa Đậu,Sữa các loại
Sữa tiệt trùng Cô gái Hà Lan có đường lốc 4 hộp x 180ml,Sữa tươi,Sữa các loại
Sữa bắp non dinh dưỡng LOF lốc 4 hộp x 180ml,Sữa Hạt - Sữa Đậu,Sữa các loại
Phô mai lát Hamburger Zott gói 200g,Sữa Chua - Váng Sữa,Sữa các loại
Lốc 6 hộp sữa tiệt trùng Binggrae hương dâu 200ml,Sữa tươi,Sữa các loại
Kem sữa Whipping cream AVonMorehộp 1L,Bơ Sữa - Phô Mai,Sữa các loại
Lốc 6 hộp sữa đậu nành Fami canxi cà phê 200ml,Sữa Hạt - Sữa Đậu,Sữa các loại
Lốc 6 sữa đậu nành canxi vị socola Fami 200ml,Sữa Hạt - Sữa Đậu,Sữa các loại
Sữa chua ăn Vinamilk lựu Đỏ Ít Đường 100g,Sữa Chua - Váng Sữa,Sữa các loại
Sữa chua uống KUN vị kem dâu thùng 24 túi x 110ml,Sữa Chua - Váng Sữa,Sữa các loại
Sữa chua uống Kun hương cam thùng 24 túi x 110ml,Sữa Chua - Váng Sữa,Sữa các loại
Sữa tiệt trùng Binggrae vị chuối lốc 6 hộp x 200ml,Sữa tươi,Sữa các loại
Lốc 3 hộp sữa hạt hạnh nhân Degree 127 180ml,Sữa Hạt - Sữa Đậu,Sữa các loại
Lốc 3 hộp sữa óc chó Degrees 137 truyền thống 180ml,Sữa Hạt - Sữa Đậu,Sữa các loại
Sữa chua uống men sống hương dâu Probi Vinamilk lốc 5 chai x 65ml,Sữa Chua - Váng Sữa,Sữa các loại
