product_name,unit,final_price,marked_price,product_url,scrape_timestamp,run_id
Nước Rửa Chén Sunlight Thiên Nhiên Lô Hội Túi 2kg,Gói,49000.0,73600.0,https://winmart.vn/products/sunlight-nrc-t.nhien-tui-21kg2kg--s10640562?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Nước Giặt OMO Matic Chuyên Gia Giữ Màu Cửa Trước 4.1KG,Gói,253400.0,,https://winmart.vn/products/omo-ng-ben-dep-cua-truoc-tui-4.1kg--s10161179?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Nước giặt Ariel Downy hương oải túi 3.9kg,Gói,265100.0,,https://winmart.vn/products/ariel-ng-downy-h.oai-huong-3.9kg4.1kg--s10171075?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
"Nước rửa chén cao cấp Good Care thiên nhiên can 3,6kg",Can,89000.0,127600.0,https://winmart.vn/products/good-care-nrc-cao-cap-thien-nhien-36kg--s10171070?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Nước giặt Comfort dưỡng vải thời thượng túi 3.6L,Gói,155000.0,191500.0,https://winmart.vn/products/comfort-ng-duong-vai-thoi-thuong-38kg--s10170634?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Nước xả vải Downy đam mê dạng túi 1.35L,Gói,122800.0,,https://winmart.vn/products/downy-nuoc-xa-dam-me-tui-1.35l--s10019399?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Nước giặt quần áo em bé D-nee Honey Star can 3L,Can,247500.0,,https://winmart.vn/products/d-nee-nuoc-giat-quan-ao-em-be-hong-3l--s10019414?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
"Nước giặt đậm đặc Essence dạng chai 1,9L",Chai,190400.0,,https://winmart.vn/products/essence-nuoc-giat-tim-19l--s10019433?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Dung dịch tẩy vết bẩn cổ áo Essence dạng chai 220ml,Chai,39300.0,,https://winmart.vn/products/essence-tay-co-ao-220ml--s10019436?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Nước giặt xả đậm đặc tím Carefor can 3.5L,Can,222900.0,,https://winmart.vn/products/carefor-nuoc-giat-xa-d.dac-hoa-lan-35l--s10019476?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Nước giặt xả cho bé Carefor Plus hương hoa hồng chai 3.5 lít,Can,221000.0,,https://winmart.vn/products/carefor-nuoc-giat-xa-d.dac-hoa-hong-35l--s10019475?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Bột giặt nhiệt Aba dùng cho giặt máy gói 3kg,Gói,128400.0,,https://winmart.vn/products/aba-bot-giat-nhiet-matic-tui-29kg--s10019510?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
"Bột giặt Ariel hương Downy đam mê túi 3,8kg",Gói,206200.0,,https://winmart.vn/products/ariel-bot-giat-dam-me-tui-38kg--s10019565?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Bột giặt ARIEL đam mê túi 650g,Gói,42300.0,,https://winmart.vn/products/ariel-bot-giat-dam-me-tui-650g--s10019562?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Bột giặt Ariel đam mê túi 5kg,Gói,270000.0,,https://winmart.vn/products/ariel-bot-giat-dam-me-tui-5kg--s10019611?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
"Bột giặt Ariel hương nắng mai dạng túi 5,5kg",Gói,272000.0,,https://winmart.vn/products/ariel-bot-giat-h.nang-mai-tui-55kg--s10019612?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Tẩy nhà tắm siêu sạch Gift chai 900ml,Chai,35400.0,,https://winmart.vn/products/gift-tay-nha-tam-sieu-sach-900ml--s10019675?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
"Nước lau sàn Gift pink sakura can 3,8kg",Can,92200.0,,https://winmart.vn/products/gift-nuoc-lau-san-pink-sakura-38kg--s10019680?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
"Nước lau sàn Gift hương ylang 3,8kg",Can,91400.0,,https://winmart.vn/products/gift-nuoc-lau-san-huong-ylang-38kg--s10019681?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
"Nước lau sàn Gift hương bạc hà can 3,8kg",Can,92200.0,,https://winmart.vn/products/gift-nuoc-lau-san-huong-bac-ha-38kg--s10019683?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Nước lau sàn hương lily Gift chai 1L,Chai,32400.0,,https://winmart.vn/products/gift-nuoc-lau-san-huong-lily-1l--s10019677?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
"Nước lau sàn Gift hương orchid/sweet 3,8kg",Can,92200.0,,https://winmart.vn/products/gift-nuoc-lau-san-h.orchidsweet-38kg--s10019684?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Nước lau kính Gift 540ml/580ml,Chai,23600.0,,https://winmart.vn/products/gift-nuoc-lau-kinh-540ml--s10019689?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Nước lau bếp Gift chai 520ml/540ml,Chai,30500.0,,https://winmart.vn/products/gift-nuoc-lau-bep-520ml--s10019692?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Nước rửa chén Gift hương trà xanh 15g,Can,97200.0,,https://winmart.vn/products/gift-nuoc-rua-chen-huong-tra-xanh-38kg--s10019697?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
"Nước rửa chén Gift hương chanh can 3,8kg",Can,97200.0,,https://winmart.vn/products/gift-nuoc-rua-chen-huong-chanh-38kg--s10019696?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
"Nước tẩy rửa nhà tắm siêu tẩy Duck Mr. Muscle 1,8L",Chai,63600.0,,https://winmart.vn/products/duck-tay-nha-tam-mr-muslce-pro-18l--s10019710?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Tẩy bồn cầu Duck Mr Muslce pro chai 900ml,Chai,27900.0,37400.0,https://winmart.vn/products/duck-tay-nha-tam-mr-muslce-pro-900ml--s10019708?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Nước lau bếp Mr Muscle chai 500ml,Chai,42300.0,,https://winmart.vn/products/duck-nuoc-lau-bep-mr-muscle-500ml--s10019827?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Nước tẩy vết ố bàn Mrs Mckenic chai 500ml,Chai,281100.0,,https://winmart.vn/products/mrs-mckenic-nuoc-tay-vet-o-ban-500ml--s10019873?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
"Nước rửa chén Suzy hương bạc hà chai 2,1kg",Chai,70700.0,,https://winmart.vn/products/suzy-nuoc-rua-chen-huong-bac-ha-21kg--s10019906?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Bộ xông đuổi muỗi Jumbo 120g,Bộ,53100.0,,https://winmart.vn/products/jumbo-vape-bo-xong-duoi-muoi-l5-lily--s10020071?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Bình xịt côn trùng Raid không mùi 600ml,Chai,68700.0,,https://winmart.vn/products/raid-xit-con-trung-khong-mui-600ml--s10020078?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Xịt côn trùng Jumpo Vape hương lài chai 600ml,Chai,68700.0,,https://winmart.vn/products/jumbo-vape-xit-c.trung-g4-hoa-lai-600ml--s10020111?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Bình xịt côn trùng Jumbo Vape hương lavender dạng chai 600ml,Chai,68700.0,,https://winmart.vn/products/jumbo-vape-xit-c.trung-g3-lavender-600ml--s10020112?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Bình xịt côn trùng Jumbo Vape hương cam chanh dạng chai 600ml,Chai,68700.0,,https://winmart.vn/products/jumbo-vape-xit-c.trung-g-cam-chanh-600ml--s10020110?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Nước xả vải Downy hương huyền bí túi 3L,Gói,205000.0,248000.0,https://winmart.vn/products/downy-nuoc-xa-huyen-bi-tui-3l--s10160008?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Nước xả vải Downy hương đam mê túi 3 lít,Gói,205000.0,248000.0,https://winmart.vn/products/downy-nuoc-xa-dam-me-tui-3l--s10160009?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Nước xả vải Downy hương nắng mai túi 3 lít,Gói,237000.0,,https://winmart.vn/products/downy-nuoc-xa-nang-mai-tui-3l--s10160010?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Viên tẩy bồn cầu hương chanh Vim 55g,VỈ,27500.0,,https://winmart.vn/products/vim-vien-tay-bon-cau-huong-chanh-55g--s10160130?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Bình xịt Goodcare lau bếp 500ml,Chai,140400.0,,https://winmart.vn/products/goodcare-binh-xit-lau-bep-500ml--s10160954?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Nước giặt xả MaxKleen hương vườn sớm mai 2.4kg,Gói,147300.0,,https://winmart.vn/products/maxkleen-nuoc-giat-xa-h.sommai-tui-24kg--s10160955?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
"Nước xả vải Downy hương huyền bí túi 3,5L",Gói,212000.0,283500.0,https://winmart.vn/products/downy-nuoc-xa-huyen-bi-tui-35l--s10160979?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
"Nước giặt hương nước hoa Surf túi 3,1kg",Gói,95000.0,143400.0,https://winmart.vn/products/surf-nuoc-giat-huong-nuoc-hoa-tui-31kg--s10160963?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Nước xả vải Downy hương nắng mai túi 3.5 lít,Gói,209900.0,254300.0,https://winmart.vn/products/downy-nuoc-xa-nang-mai-tui-35l--s10160980?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
"Nước giặt Omo Comfort tinh dầu thơm túi 2,8kg",Gói,149000.0,177800.0,https://winmart.vn/products/omo-ng-comfort-t.dau-thom-tui29kg2.8kg--s10161174?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
"Nước giặt Omo bền đẹp cửa trước túi 2,9kg",Gói,149000.0,177800.0,https://winmart.vn/products/omo-ng-ben-dep-cua-truoc-tui-29kg28kg--s10161177?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Nước Xả Vải Downy Làn Gió Mát Túi 2.4L,Gói,185600.0,,https://winmart.vn/products/downy-nuoc-xa-lan-gio-mat-tui-24l--s10161347?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Nước Giặt Xả Maxkleen Hương Sớm Mai Túi 3.8kg,Gói,206200.0,,https://winmart.vn/products/maxkleen-nuoc-giat-xa-som-mai-tui-3.8kg--s10161637?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Túi Nước Giặt Xả Maxkleen Hương hoa huyền diệu 3.8kg,Gói,206200.0,,https://winmart.vn/products/maxkleen-nuoc-giat-xa-h.dieu-tui-3.8kg--s10161636?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Túi Nước Giặt Xả Maxkleen Hương Hoa Nắng 3.8kg,Gói,206200.0,,https://winmart.vn/products/maxkleen-nuoc-giat-xa-hoa-nang-tui-3.8kg--s10161635?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
"Nước giặt Omo bền đẹp cửa trước túi 2,8kg",Gói,149000.0,177800.0,https://winmart.vn/products/omo-ng-may-chuyen-dung-c.truoc-28kg--s10161777?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
"Nước xả đam mê túi Downy túi 3,5L",Gói,229000.0,283500.0,https://winmart.vn/products/downy-nuoc-xa-dam-me-tui-35l--s10161819?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Nước xả vải Comfort chăm sóc chuyên sâu 1 lần xả hương ban mai túi 3.8L,Gói,266100.0,,https://winmart.vn/products/comfort-nx-cs-c.sau-1lx-h.ban-mai-38l--s10161833?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Nước xả vải Comfort hương nước hoa thiên nhiên tinh tế túi 1.8L,Gói,140400.0,,https://winmart.vn/products/comfort-nx-cs-c.sau-n.hoa-tn-sofia-18l--s10161842?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Viên rửa chén 5 trong 1 Sunlight 28 viên,Hộp,138500.0,,https://winmart.vn/products/sunlight-vien-rua-chen-5-in-1-28-vien--s10161895?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
"Nước lau sàn Sunlight hương hoa diên vỹ túi 3,6kg",Gói,78600.0,,https://winmart.vn/products/sunlight-nls-huong-hoa-dien-vy-tui-36kg--s10161896?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
"Nước giặt cửa trước đam mê Ariel gói 3,05kg",Gói,189900.0,232200.0,https://winmart.vn/products/ariel-nuoc-giat-cua-truoc-dam-me-305kg--s10162261?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
"Nước giặt cửa trước tươi mát Ariel túi 3,2kg",Gói,173900.0,232200.0,https://winmart.vn/products/ariel-nuoc-giat-cua-truoc-tuoi-mat-32kg--s10162262?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
"Bình xịt ruồi, muỗi Á Jet Blue chai 600ml",Chai,67800.0,,https://winmart.vn/products/ars-binh-xit-ruoimuoi-jet-blue-s-600ml--s10162293?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Dung dịch xông đuổi muỗi ARS nomat P60 45ml,Lọ,29500.0,,https://winmart.vn/products/ars-d.dich-xong-duoi-muoi-nomat-p60-45ml--s10162295?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Bình xịt côn trùng ARS Jet Gold 600ml,Chai,67800.0,,https://winmart.vn/products/ars-binh-xit-con-trung-jet-gold-s-600ml--s10162292?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Nước xả làn gió mát Downy gói 3.5L,Gói,209900.0,254300.0,https://winmart.vn/products/downy-nuoc-xa-lan-gio-mat-3.5l--s10162314?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Nước giặt Ariel sạch nhanh túi 4.1kg,Gói,265100.0,,https://winmart.vn/products/ariel-nuoc-giat-sach-nhanh-tui-4.1kg--s10170504?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Nước giặt Ariel downy đam mê túi 3.9kg,Gói,265100.0,,https://winmart.vn/products/ariel-ng-downy-dam-me-tui-3.9kg4.1kg--s10170503?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Nước xả Downy hương oải hương túi 3L,Gói,248000.0,,https://winmart.vn/products/downy-nuoc-xa-huong-oai-huong-tui-3l--s10170508?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Nước giặt Ariel hương hoa oải hương túi 3.2kg,Gói,189900.0,232200.0,https://winmart.vn/products/ariel-ng-h.oai-huong-tui-3.2kg3.65kg--s10170510?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
Nước giặt xả thiên nhiên MaxKleen túi 2.2kg,Gói,147300.0,,https://winmart.vn/products/maxkleen-nuoc-giat-xa-thien-nhien-2.2kg--s10170554?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:43:01 PM",2f3f6f7e-9f3f-4024-995b-0e53fe5b9673
