product_name,subcategory,parent_category
Nước Rửa Chén Sunlight Thiên Nhiên Lô Hội Túi 2kg,Nước Rửa Chén,Hóa Phẩm - Tẩy rửa
Nước Giặt OMO Matic Chuyên Gia Giữ Màu Cửa Trước 4.1KG,Nước Giặt,Hóa Phẩm - Tẩy rửa
Nước giặt Ariel Downy hương oải túi 3.9kg,Nước Giặt,Hóa Phẩm - Tẩy rửa
"Nước rửa chén cao cấp Good Care thiên nhiên can 3,6kg",Nước Rửa Chén,Hóa Phẩm - Tẩy rửa
Nước giặt Comfort dưỡng vải thời thượng túi 3.6L,Bug catcher / Detergents,Hóa Phẩm - Tẩy rửa
Nước xả vải Downy đam mê dạng túi 1.35L,Nước Xả,Hóa Phẩm - Tẩy rửa
Nước giặt quần áo em bé D-nee Honey Star can 3L,Nước Giặt,Hóa Phẩm - Tẩy rửa
"Nước giặt đậm đặc Essence dạng chai 1,9L",Nước Giặt,Hóa Phẩm - Tẩy rửa
Dung dịch tẩy vết bẩn cổ áo Essence dạng chai 220ml,Nước Tẩy Rửa,Hóa Phẩm - Tẩy rửa
Nước giặt xả đậm đặc tím Carefor can 3.5L,Nước Giặt,Hóa Phẩm - Tẩy rửa
Nước giặt xả cho bé Carefor Plus hương hoa hồng chai 3.5 lít,Nước Giặt,Hóa Phẩm - Tẩy rửa
Bột giặt nhiệt Aba dùng cho giặt máy gói 3kg,Nước Giặt,Hóa Phẩm - Tẩy rửa
Bột giặt ARIEL đam mê túi 650g,Nước Giặt,Hóa Phẩm - Tẩy rửa
"Bột giặt Ariel hương Downy đam mê túi 3,8kg",Nước Giặt,Hóa Phẩm - Tẩy rửa
Bột giặt Ariel đam mê túi 5kg,Nước Giặt,Hóa Phẩm - Tẩy rửa
"Bột giặt Ariel hương nắng mai dạng túi 5,5kg",Nước Giặt,Hóa Phẩm - Tẩy rửa
Tẩy nhà tắm siêu sạch Gift chai 900ml,Nước Tẩy Rửa,Hóa Phẩm - Tẩy rửa
"Nước lau sàn Gift pink sakura can 3,8kg",Nước Lau Sàn - Lau Kính,Hóa Phẩm - Tẩy rửa
"Nước lau sàn Gift hương ylang 3,8kg",Nước Lau Sàn - Lau Kính,Hóa Phẩm - Tẩy rửa
"Nước lau sàn Gift hương orchid/sweet 3,8kg",Nước Lau Sàn - Lau Kính,Hóa Phẩm - Tẩy rửa
