product_name,subcategory,parent_category
Khoai tây chiên đông lạnh Đôi Đũa Vàng gói 500g,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Nước lẩu nấm Icook Ashima gói 1L,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
MEATDELI Giò sống 200g,Chả Giò,Thực Phẩm Đông Lạnh
Cá viên Kitkool 200g,Cá - Bò Viên,Thực Phẩm Đông Lạnh
Tôm viên Hoa Doanh gói 200g,Cá - Bò Viên,Thực Phẩm Đông Lạnh
Tôm thịt Home Food 16/20 450g,Hải Sản Đông Lạnh,Thực Phẩm Đông Lạnh
Giò bò Vissan cây 500g,Chả Giò,Thực Phẩm Đông Lạnh
Nem chua Ước Lễ Thủy Hùng cây 200g,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Nem chua Ước Lễ Thủy Hùng gói 200g,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Giò lụa Vissan cây 250g,Chả Giò,Thực Phẩm Đông Lạnh
Tôm thịt 51/70 Đôi Đũa Vàng khay 252g,Hải Sản Đông Lạnh,Thực Phẩm Đông Lạnh
Lẩu Thái SGFood Việt Nam 500g,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Que Surimi Kani Supreme hương cua gói 250g,Hải Sản Đông Lạnh,Thực Phẩm Đông Lạnh
Que surimi Kani Fresh hương cua gói 250g,Hải Sản Đông Lạnh,Thực Phẩm Đông Lạnh
Tôm thịt THABIFOOD size 8/12 khay 450g,Hải Sản Đông Lạnh,Thực Phẩm Đông Lạnh
Tôm thịt 31/40 Đôi Đũa Vàngkhay 252g,Hải Sản Đông Lạnh,Thực Phẩm Đông Lạnh
Tôm thịt Thaibifood size 31/40 khay 450g,Hải Sản Đông Lạnh,Thực Phẩm Đông Lạnh
Tôm thịt THABIFOOD size 26/30 khay 450g,Hải Sản Đông Lạnh,Thực Phẩm Đông Lạnh
Viên hải sản rau củ Thabifood gói 500g,Cá - Bò Viên,Thực Phẩm Đông Lạnh
Mực trứng đông lạnh Thaibifood loại A khay 450g,Hải Sản Đông Lạnh,Thực Phẩm Đông Lạnh
Tôm thịt Home Food size 71/90 khay 450g,Hải Sản Đông Lạnh,Thực Phẩm Đông Lạnh
Nem tôm cua Đôi Đũa Vàng gói 480g,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Há cảo Thực Phẩm Cầu Tre gói 500g,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Chả mực giã tay Đôi Đũa Vàng gói 480g,Chả Giò,Thực Phẩm Đông Lạnh
Xíu mại Thực Phẩm Cầu Tre Gói 500g,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Cá trứng Nauy Thaibifood khay 450g,Hải Sản Đông Lạnh,Thực Phẩm Đông Lạnh
Há cảo tôm cua Thực Phẩm Cầu Tre gói 500g,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Há cảo mini Thực Phẩm Cầu Tre gói 500g,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Cua đồng tinh chất Minh Tiến gói 200g,Hải Sản Đông Lạnh,Thực Phẩm Đông Lạnh
Mực trứng Minh Tiến gói 400g,Hải Sản Đông Lạnh,Thực Phẩm Đông Lạnh
Tôm sú tươi Minh Tiến size 61/70 450g,Hải Sản Đông Lạnh,Thực Phẩm Đông Lạnh
Cua đồng xay Minh Tiến gói 500g,Hải Sản Đông Lạnh,Thực Phẩm Đông Lạnh
Tôm thịt Home Food sixe 41/50 gói 450g,Hải Sản Đông Lạnh,Thực Phẩm Đông Lạnh
Mực ống size 10-12 Hải Nam 500g,Hải Sản Đông Lạnh,Thực Phẩm Đông Lạnh
Thịt cua đồng xay tinh chế Vinacua gói 250g,Hải Sản Đông Lạnh,Thực Phẩm Đông Lạnh
Bò viên Xì Tin gói 340g,Cá - Bò Viên,Thực Phẩm Đông Lạnh
Cá viên nhân tôm SG Food gói 500g,Cá - Bò Viên,Thực Phẩm Đông Lạnh
Thanh cua surimi Mayumi gói 500g,Hải Sản Đông Lạnh,Thực Phẩm Đông Lạnh
Pizza Đôi Đũa Vàng nhân hải sản hộp 350g,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Pizza Đôi Đũa Vàng nhân thịt hộp 350g,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Nem chua rán Đôi Đũa Vàng gói 240g,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Khoai tây đông lạnh sợi lớn Fries - Frites Lutosa túi 1kg,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Phô mai que Đôi Đũa Vàng khay 300g,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Khoai tây Golden Longs McCain 750g,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Khoai môn Lệ Phố đông lạnh Đôi Đũa Vàng gói 300g,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Chả cá viên Thaibifood gói 500g,Chả Giò,Thực Phẩm Đông Lạnh
Bò viên Thaibifood túi 500g,Cá - Bò Viên,Thực Phẩm Đông Lạnh
Rau sắc màu đậu Hà Lan Đôi Đũa Vàng 400g,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Chả giò đặc biệt hải sản Thực Phẩm Cầu Tre gói 500g,Chả Giò,Thực Phẩm Đông Lạnh
Há cảo Hồng Kông Tân Việt Sin gói 500g,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Thịt hến làm sạch,Hải Sản Đông Lạnh,Thực Phẩm Đông Lạnh
Thịt ốc làm sạch,Hải Sản Đông Lạnh,Thực Phẩm Đông Lạnh
Há cảo Dong Won meat dumpling for boilin,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Thịt nghêu Lenger 200g,Hải Sản Đông Lạnh,Thực Phẩm Đông Lạnh
Há cảo DongWon tôm đặc biệt,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Bò viên ngon Cầu Tre 500g,Cá - Bò Viên,Thực Phẩm Đông Lạnh
Há cảo Cầu Tre thượng hạng 300gr,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Phô mai que hương sữa Tân Việt Sin,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Lẩu thả Cầu Tre Long Cung 300g,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Mỳ Ý sốt bò bằm SG Food 250g,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Cơm chiên hải sản ngũ sắc SG Food 200g,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Chả giò da xốp chay Cầu Tre gói 400g,Chả Giò,Thực Phẩm Đông Lạnh
Chả giò da xốp tôm thịt Cầu Tre gói 400g,Chả Giò,Thực Phẩm Đông Lạnh
Ba chỉ bò mỹ cắt cuộn chấm sốt sukiyaki Orifood khay 500g,Thịt Đông Lạnh,Thực Phẩm Đông Lạnh
Phô mai que WinMart Good 300g,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Bánh khoai khen vàng WinMart Good 230g,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Chả nướng Ngọc Thơm 300g,Chả Giò,Thực Phẩm Đông Lạnh
Chả cốm Ngọc Thơm 300g,Chả Giò,Thực Phẩm Đông Lạnh
Há cảo Cầu Tre nhân tôm cải bó xôi 300g,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Há cảo Cầu Tre nhân tôm củ dền 300g,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Chả heo Lá Chuối Hoa Doanh gói 200g,Chả Giò,Thực Phẩm Đông Lạnh
Khoai tây cắt sợi Shoestring Farm Best 1kg,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Khoai tây cắt thẳng Straight Cut Farm Best 1kg,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Gà Viên Lá Chanh Hoa Doanh 200g,Cá - Bò Viên,Thực Phẩm Đông Lạnh
Bánh xếp Hàn Quốc CJ Foods nhân tôm 300g,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Bánh xếp Hàn Quốc CJ Foods nhân nấm 300g,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Viên thả lẩu răng mực LCFoods 500g,Cá - Bò Viên,Thực Phẩm Đông Lạnh
Viên thả lẩu phô mai trứng muối LCFoods 500g,Cá - Bò Viên,Thực Phẩm Đông Lạnh
Mỳ spaghetti bò bằm phô mai LC Food 270g,Thịt Đông Lạnh,Thực Phẩm Đông Lạnh
Chả cá thát lát Kitkool 200g,Chả Giò,Thực Phẩm Đông Lạnh
Lõi vai bò beefsteak Orifood 350g,Thịt Đông Lạnh,Thực Phẩm Đông Lạnh
Lõi vai bò lúc lắc Orifood 275g,Thịt Đông Lạnh,Thực Phẩm Đông Lạnh
Nugget mực vòng chiên giòn KitKool 300g,Chả Giò,Thực Phẩm Đông Lạnh
Mực viên Kitkool 200g,Cá - Bò Viên,Thực Phẩm Đông Lạnh
Giò lụa hảo hạng 300g,Chả Giò,Thực Phẩm Đông Lạnh
Tôm sú tươi Minh Tiến size 41/50 450g,Hải Sản Đông Lạnh,Thực Phẩm Đông Lạnh
