product_name,unit,final_price,marked_price,product_url,scrape_timestamp,run_id
Bộ lau nhà 360 độ cải tiến 2 trong 1,Bộ,249000.0,658800.0,https://winmart.vn/products/scotch-brite-bo-lau-nha-cai-tien-2in1--s10250381?storeGroupCode=1998&storeCode=1535,"1/30/2026, 2:55:23 PM",40a137df-fb4a-44e6-a2d0-4b3b493befd2
Hộp nhựa thực phẩm Lock&Lock HSM8220 540ml,Cái,22000.0,50000.0,https://winmart.vn/products/ll-hop-nhua-thuc-pham-hsm8120-540ml--s10167193?storeGroupCode=1998&storeCode=1535,"1/30/2026, 2:55:23 PM",40a137df-fb4a-44e6-a2d0-4b3b493befd2
Bình nước Lock & Lock Easy Open HAP813N 1.2L,Cái,29900.0,66000.0,https://winmart.vn/products/ll-binh-nuoc-easy-open-hap813n-1.2l--s10167127?storeGroupCode=1998&storeCode=1535,"1/30/2026, 2:55:23 PM",40a137df-fb4a-44e6-a2d0-4b3b493befd2
Hộp bánh mứt vuông Haru-24cm,Cái,139000.0,303400.0,https://winmart.vn/products/inochi-hop-banh-mut-vuong-haru-24cm--s10281615?storeGroupCode=1998&storeCode=1535,"1/30/2026, 2:55:23 PM",40a137df-fb4a-44e6-a2d0-4b3b493befd2
Bình giữ nhiệt Carlmann inox BES523 500ml,Cái,99000.0,198000.0,https://winmart.vn/products/moriitalia-bgn-carlmann-inox-500ml--s10027478?storeGroupCode=1998&storeCode=1535,"1/30/2026, 2:55:23 PM",40a137df-fb4a-44e6-a2d0-4b3b493befd2
Nồi Lock&Lock Stone 2 tay cầm LCA6242D 24cm (Dùng bếp từ),Cái,495000.0,971500.0,https://winmart.vn/products/ll-noi-tu-stone-2-tay-cam-24cm-lca6242--s10025835?storeGroupCode=1998&storeCode=1535,"1/30/2026, 2:55:23 PM",40a137df-fb4a-44e6-a2d0-4b3b493befd2
Bình nước nhựa Lock & Lock PET 1.5L HAP812,Cái,33900.0,65000.0,https://winmart.vn/products/ll-binh-nuoc-nhua-pet-1.5l-hap812--s10235247?storeGroupCode=1998&storeCode=1535,"1/30/2026, 2:55:23 PM",40a137df-fb4a-44e6-a2d0-4b3b493befd2
Bình nước PET Lock&Lock HAP730 1.2L,Cái,29000.0,55000.0,https://winmart.vn/products/ll-binh-nuoc-pet-1.2l-hap730--s10023987?storeGroupCode=1998&storeCode=1535,"1/30/2026, 2:55:23 PM",40a137df-fb4a-44e6-a2d0-4b3b493befd2
Bộ lau nhà Starplus MS212,Bộ,209000.0,372100.0,https://winmart.vn/products/starplus-bo-lau-nha-starplus-ms212--s10320886?storeGroupCode=1998&storeCode=1535,"1/30/2026, 2:55:23 PM",40a137df-fb4a-44e6-a2d0-4b3b493befd2
"Bình nước PET Lock&Lock HAP731 1,5L (Xanh dương)",Cái,44900.0,79000.0,https://winmart.vn/products/ll-binh-dung-nuoc-15l-hap731--s10023988?storeGroupCode=1998&storeCode=1535,"1/30/2026, 2:55:23 PM",40a137df-fb4a-44e6-a2d0-4b3b493befd2
Gối Memory Foam 50D Lock&Lock HLW113,Cái,469000.0,802000.0,https://winmart.vn/products/ll-goi-memory-foam-50d-hlw113--s10064937?storeGroupCode=1998&storeCode=1535,"1/30/2026, 2:55:23 PM",40a137df-fb4a-44e6-a2d0-4b3b493befd2
Khăn mặt cotton WinMart Home 32*65*90g,Cái,29000.0,49000.0,https://winmart.vn/products/wmh-khan-mat-cotton-326590g-gdpp--s10330217?storeGroupCode=1998&storeCode=1535,"1/30/2026, 2:55:23 PM",40a137df-fb4a-44e6-a2d0-4b3b493befd2
Chảo Cookplus Stone Lock&Lock LCA6283D - 28cm (Đen),Cái,559000.0,927900.0,https://winmart.vn/products/ll-chao-ran-stone-28cm-xam-lca6283d--s10316558?storeGroupCode=1998&storeCode=1535,"1/30/2026, 2:55:23 PM",40a137df-fb4a-44e6-a2d0-4b3b493befd2
Nồi thân cao CookPlus Stone hai tay cầm 24cm Lock&Lock LCA6244D,Cái,659000.0,1079500.0,https://winmart.vn/products/ll-noi-tucookplusstone2tcam24cmlca6244d--s10025836?storeGroupCode=1998&storeCode=1535,"1/30/2026, 2:55:23 PM",40a137df-fb4a-44e6-a2d0-4b3b493befd2
Bộ lau nhà Starplus MS03,Bộ,269000.0,429000.0,https://winmart.vn/products/starplus-bo-lau-nha-ms03--s10026891?storeGroupCode=1998&storeCode=1535,"1/30/2026, 2:55:23 PM",40a137df-fb4a-44e6-a2d0-4b3b493befd2
Bộ cây lau nhà xoay tay 360 độ Lock&Lock MOP-Q2-1,Bộ,719000.0,1150000.0,https://winmart.vn/products/ll-bo-cay-ln-360-do-xanh-dg-mop-q2-1--s10027124?storeGroupCode=1998&storeCode=1535,"1/30/2026, 2:55:23 PM",40a137df-fb4a-44e6-a2d0-4b3b493befd2
