product_name,subcategory,parent_category
CLOSEUP KDR WhiteNow BlueSapphire 100g,Chăm Sóc Răng Miệng,Chăm Sóc Cá Nhân
CLOSEUP KDR WhiteNow khoáng tự nhiên100g,Chăm Sóc Răng Miệng,Chăm Sóc Cá Nhân
Kem đánh răng P/S bảo vệ 123 baking soda & hương thảo hộp 230g,Chăm Sóc Răng Miệng,Chăm Sóc Cá Nhân
Kem đánh răng P/S muối hồng và hoa cúc 230g,Chăm Sóc Răng Miệng,Chăm Sóc Cá Nhân
Dầu Gội Tresemme Keratin Smooth vào nếp mượt mà chai 480g,Chăm Sóc Tóc,Chăm Sóc Cá Nhân
Dầu gội Tresemme Keratin vào nếp suôn mượt chai 640g,Chăm Sóc Tóc,Chăm Sóc Cá Nhân
Dầu gội Tresemme ngăn gãy rụng Salon Rebond chai 640g,Chăm Sóc Tóc,Chăm Sóc Cá Nhân
Bàn chải đánh răng Closeup Precision lông chải siêu mềm,Chăm Sóc Răng Miệng,Chăm Sóc Cá Nhân
Kem đánh răng Closeup Diamond Attraction trắng răng 100g,Chăm Sóc Răng Miệng,Chăm Sóc Cá Nhân
Bộ đôi nước súc miệng diệt khuẩn Listerine Cool Mint 750ml,Chăm Sóc Răng Miệng,Chăm Sóc Cá Nhân
Xịt nước hoa toàn thân AXE cho nam Gold temptation chai 135ml,Chăm Sóc Cá Nhân Khác,Chăm Sóc Cá Nhân
Kem đánh răng P/S Baking Soda 180g (Tặng KDR Chăm sóc nướu 30g),Chăm Sóc Răng Miệng,Chăm Sóc Cá Nhân
Xà phòng sạch khuẩn Aiken Protection 90g,Chăm Sóc Cá Nhân Khác,Chăm Sóc Cá Nhân
Xà phòng sạch khuẩn Aiken Revitalise 90g,Chăm Sóc Cá Nhân Khác,Chăm Sóc Cá Nhân
Nước súc miệng Mondahmin PeperMint 300ml,Chăm Sóc Răng Miệng,Chăm Sóc Cá Nhân
Dầu gội Clear 9 thảo dược cổ truyền 630g,Chăm Sóc Tóc,Chăm Sóc Cá Nhân
Bộ 2 bàn chải đánh răng than hoạt tính P/S Charcoal (Giao màu ngẫu nhiên),Chăm Sóc Răng Miệng,Chăm Sóc Cá Nhân
Sữa rửa mặt đất sét trắng Senka Perfect Whiteclay 120g,Chăm Sóc Da,Chăm Sóc Cá Nhân
Bàn chải đánh răng Colgate siêu mềm,Chăm Sóc Răng Miệng,Chăm Sóc Cá Nhân
Dầu gội Clear Men Cool Sport bạc hà sạch gàu 630g,Chăm Sóc Tóc,Chăm Sóc Cá Nhân
