product_name,subcategory,parent_category
Cháo tổ yến rong biển thịt bằm LC Foods 50g,Cháo,Mì - Thực Phẩm Ăn Liền
Bánh đa cua Hoàng Gia gói 120g,Miến - Hủ Tíu - Bánh Canh,Mì - Thực Phẩm Ăn Liền
Hủ tiếu Nam Vang Hoàng Gia Vifon thùng 18 gói x 120g,Miến - Hủ Tíu - Bánh Canh,Mì - Thực Phẩm Ăn Liền
Tokpokki Hàn Quốc vị phô mai gói 140g,Mì,Mì - Thực Phẩm Ăn Liền
Bánh gạo tokpokki tròn O'food vị phô mai ly 105g,Mì,Mì - Thực Phẩm Ăn Liền
Topokki Hàn Quốc vị truyền thống OFood hộp 105g,Mì,Mì - Thực Phẩm Ăn Liền
Tokpokki MiWon Hàn Quốc vị phô mai hộp 105g,Mì,Mì - Thực Phẩm Ăn Liền
Tokpokki Hàn Quốc vị truyền thống gói 140g,Mì,Mì - Thực Phẩm Ăn Liền
Bún bò Huế Vifon Hoàng Gia gói 120g,Phở - Bún,Mì - Thực Phẩm Ăn Liền
Tokpokki MiWon Hàn Quốc vị phô mai gói 140g,Mì,Mì - Thực Phẩm Ăn Liền
Nui ống Meizan gói 400g,Mì,Mì - Thực Phẩm Ăn Liền
Mì trứng cao cấp Meizan gói 250g,Mì,Mì - Thực Phẩm Ăn Liền
Mì Ottogi Jin tương đen vị bò 135g,Mì,Mì - Thực Phẩm Ăn Liền
Mì Kimchi gói 8 bịch,Mì,Mì - Thực Phẩm Ăn Liền
Mì khô gà cay vị phô mai Samyang gói 140g,Mì,Mì - Thực Phẩm Ăn Liền
Phở thịt bò Hoàng gia gói 120g,Phở - Bún,Mì - Thực Phẩm Ăn Liền
Phở thịt gà Hoàng Gia Vifon thùng 18 gói x 120g,Phở - Bún,Mì - Thực Phẩm Ăn Liền
,Mì,Mì - Thực Phẩm Ăn Liền
