product_name,subcategory,parent_category
Nước khoáng thiên nhiên Lavie thùng 24 chai x 350ml,Nước Suối,Đồ Uống - Giải Khát
Trà bí đao Coca la hán quả thùng 24 lon x 320ml,Trà - Các Loại Khác,Đồ Uống - Giải Khát
Thùng 24 lon nước giải khát không calo 330ml,Nước Ngọt,Đồ Uống - Giải Khát
Lốc 6 lon nước giải khát Coca Cola 320ml,Nước Ngọt,Đồ Uống - Giải Khát
Thùng 24 lon nước tăng lực STING 330ml/320ml,Nước Ngọt,Đồ Uống - Giải Khát
Lốc 6 lon nước không calo chanh 330ml,Nước Ngọt,Đồ Uống - Giải Khát
Nước giải khát có gas Pepsico chai 1.5 lít,Nước Ngọt,Đồ Uống - Giải Khát
Trà Ô long Tea+ Plus Pepsico thùng 24 chai x 350ml,Trà - Các Loại Khác,Đồ Uống - Giải Khát
Thùng 24 chai nước ngọt coca 390ml,Nước Ngọt,Đồ Uống - Giải Khát
Thùng 24 chai nước giải khát hương cam Fanta chai 390ml,Nước Ngọt,Đồ Uống - Giải Khát
Lốc 6 chai nước giải khát hương chanh Sprite 390ml,Nước Ngọt,Đồ Uống - Giải Khát
Thùng 24 lon nước giải khát có gas Pepsi 330ml,Nước Ngọt,Đồ Uống - Giải Khát
COCA-COLA Nc Zero SS.pet 390ml,Nước Ngọt,Đồ Uống - Giải Khát
Thùng 24 lon nước ngọt 7UP 330ml,Nước Ngọt,Đồ Uống - Giải Khát
Nước uống tăng lực Việt Redbull lon 250ml,Nước Ngọt,Đồ Uống - Giải Khát
Nước khoáng Faith khoáng chanh muối gas 355ml,Nước Suối,Đồ Uống - Giải Khát
Thùng 24 lon nước ép cam Twister Tropicana lon 320ml,Nước Ngọt,Đồ Uống - Giải Khát
Trà sữa Matcha Cozy 3in1 306g,Trà - Các Loại Khác,Đồ Uống - Giải Khát
NUTRI BOOST Nước ngọt cam sữa 297ml,Nước Ngọt,Đồ Uống - Giải Khát
Nước uống sữa trái cây bổ dưỡng hương dâu Nutri Boost thùng 24 chai x 297ml,Nước Ngọt,Đồ Uống - Giải Khát
Nước giải khát hương cam Fanta lon 330ml,Nước Ngọt,Đồ Uống - Giải Khát
SPRITE Nước giải khát 330/320ml T24,Nước Ngọt,Đồ Uống - Giải Khát
