product_name,subcategory,parent_category
Gà muối Ngọc Thơm 500g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Bánh sừng bò Bauli Moonfils Vanilla 47g,Bánh mì,Thực Phẩm Chế Biến
Bánh sừng bò Bauli Moonfils Dâu 45g,Bánh mì,Thực Phẩm Chế Biến
Bánh sừng bò Bauli Moonfils Socola 45g,Bánh mì,Thực Phẩm Chế Biến
Bánh trứng tươi sợi thịt gà Fasty túi 6gói x 26g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Bánh pía Mỹ Ngọc chà bông trứng muối phô mai 90g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Xúc xích tỏi Đức Việt gói 200g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Chân giò xông khói rút xương Đức Việt 300g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Xúc xích thịt heo Ponnie cây 45g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Xúc Xích Tiệt Trùng thịt phô mai Ponnie 45g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Xúc Xích Tiệt Trùng cá phô mai Ponnie 45g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Salami khô Ông già Ika tiêu đỏ 200g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Xúc xích ăn liền Đức Việt Handy vị heo gói 105g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Xúc xích Mỹ Đức Việt gói 500g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Ba rọi xông khói Le Gourmet gói 200g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Chân giò heo muối Ngọc Thơm 300g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Xúc xích ăn liền Đức Việt Handy vị bò gói 105g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Xúc xích Pari Đức Việt gói 500g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Khô Bò vị cà ry sợi 200g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Xúc xích hong khói (50g) Đức Việt gói 500g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Khô bò miếng Kiến Lĩnh vị Tứ Xuyên 200g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Khô Bò vị cà ry miếng 200g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Bánh phồng tôm Sa Giang gói 200g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Bánh phồng tôm rau củ Sa Giang 100g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Bánh bông nhài Bảo Minh gói 180g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
