product_name,unit,final_price,marked_price,product_url,scrape_timestamp,run_id
Hạt Nêm Meizan Vị Heo 1kg,Gói,39900.0,66300.0,https://winmart.vn/products/meizan-hat-nem-thit-xotcr-heo-1kg--s10141530?storeGroupCode=1998&storeCode=1535,"3/15/2026, 2:38:41 PM",3d70558c-ae02-4473-8ce2-ee9230fc508a
Dầu đậu nành Meizan 2L,Chai,79900.0,129000.0,https://winmart.vn/products/meizan-dau-dau-nanh-chai-2l--s10010076?storeGroupCode=1998&storeCode=1535,"3/15/2026, 2:38:41 PM",3d70558c-ae02-4473-8ce2-ee9230fc508a
Dầu đậu nành Meizan 1L,Chai,43700.0,63900.0,https://winmart.vn/products/meizan-dau-dau-nanh-chai-1l--s10010075?storeGroupCode=1998&storeCode=1535,"3/15/2026, 2:38:41 PM",3d70558c-ae02-4473-8ce2-ee9230fc508a
Tương cà Nam Dương chai 265g,Chai,8700.0,12800.0,https://winmart.vn/products/nam-duong-tuong-ca-265255gr--s10624156?storeGroupCode=1998&storeCode=1535,"3/15/2026, 2:38:41 PM",3d70558c-ae02-4473-8ce2-ee9230fc508a
Sốt mayonnaise Simply hương gạo rang chai 230g,Chai,27900.0,39800.0,https://winmart.vn/products/simply-mayonnaise-huong-gaorang-230g--s10140939?storeGroupCode=1998&storeCode=1535,"3/15/2026, 2:38:41 PM",3d70558c-ae02-4473-8ce2-ee9230fc508a
Dầu Hào Nam Dương chai 270g,Chai,12200.0,17100.0,https://winmart.vn/products/nam-duong-dau-hao-270g--s10181131?storeGroupCode=1998&storeCode=1535,"3/15/2026, 2:38:41 PM",3d70558c-ae02-4473-8ce2-ee9230fc508a
Tương ớt cay vừa Nam Dương 255g,Chai,8600.0,12000.0,https://winmart.vn/products/nam-duong-tuong-ot-cay-vua-255g--s10141980?storeGroupCode=1998&storeCode=1535,"3/15/2026, 2:38:41 PM",3d70558c-ae02-4473-8ce2-ee9230fc508a
NAM DƯƠNG Tương Cà 500g,Chai,15800.0,21600.0,https://winmart.vn/products/nam-duong-tuong-ca-500g--s10141529?storeGroupCode=1998&storeCode=1535,"3/15/2026, 2:38:41 PM",3d70558c-ae02-4473-8ce2-ee9230fc508a
Nước tương tỏi ớt tươi Nam Dương chai 310g,Chai,12800.0,17600.0,https://winmart.vn/products/nam-duong-nuoc-tuong-toi-ot-310g--s10181130?storeGroupCode=1998&storeCode=1535,"3/15/2026, 2:38:41 PM",3d70558c-ae02-4473-8ce2-ee9230fc508a
Nước tương lên men Nam Dương 500ml,Chai,17000.0,23400.0,https://winmart.vn/products/nam-duong-nuoc-tuong-len-men-500ml--s10181129?storeGroupCode=1998&storeCode=1535,"3/15/2026, 2:38:41 PM",3d70558c-ae02-4473-8ce2-ee9230fc508a
