product_name,unit,final_price,marked_price,product_url,scrape_timestamp,run_id
Dưa hấu Hắc Mỹ Nhân (Long An),2.5 KG,57250.0,74750.0,https://winmart.vn/products/dua-hau-hac-my-nhan--s10055026?storeGroupCode=1998&storeCode=1535,"3/14/2026, 3:10:54 PM",78b80237-ec1b-489c-bf85-afcf039fe25a
Cần tây lớn WinEco,1KG,38320.0,47900.0,https://winmart.vn/products/wineco-can-tay-lon-l1--s10054767?storeGroupCode=1998&storeCode=1535,"3/14/2026, 3:10:54 PM",78b80237-ec1b-489c-bf85-afcf039fe25a
Dưa lưới sạch Đế Vương King size ruột cam,Qủa,79200.0,99000.0,https://winmart.vn/products/dua-luoi-sach-de-vuong-king-size-r.cam--s10242407?storeGroupCode=1998&storeCode=1535,"3/14/2026, 3:10:54 PM",78b80237-ec1b-489c-bf85-afcf039fe25a
Rau mầm cải xanh WinEco 100g,Hộp,14800.0,18500.0,https://winmart.vn/products/wineco-rau-mam-cai-xanh-l1-100gr--s10281840?storeGroupCode=1998&storeCode=1535,"3/14/2026, 3:10:54 PM",78b80237-ec1b-489c-bf85-afcf039fe25a
Cải cúc WinEco gói 300g,Gói,8000.0,10000.0,https://winmart.vn/products/wineco-cai-cuc-l1-300gr--s10281828?storeGroupCode=1998&storeCode=1535,"3/14/2026, 3:10:54 PM",78b80237-ec1b-489c-bf85-afcf039fe25a
Cải bó xôi WinEco gói 300g,Gói,8000.0,10000.0,https://winmart.vn/products/wineco-cai-bo-xoi-300gr--s10281825?storeGroupCode=1998&storeCode=1535,"3/14/2026, 3:10:54 PM",78b80237-ec1b-489c-bf85-afcf039fe25a
Rau mầm cải ngọt WinEco 100g,Hộp,14800.0,18500.0,https://winmart.vn/products/wineco-rau-mam-cai-ngot-l1-100gr--s10281839?storeGroupCode=1998&storeCode=1535,"3/14/2026, 3:10:54 PM",78b80237-ec1b-489c-bf85-afcf039fe25a
Giá đỗ WinEco 300g,Gói,10000.0,12500.0,https://winmart.vn/products/wineco-gia-do-l1-300gr--s10281835?storeGroupCode=1998&storeCode=1535,"3/14/2026, 3:10:54 PM",78b80237-ec1b-489c-bf85-afcf039fe25a
Hành lá WinEco gói 100g,Gói,4000.0,5000.0,https://winmart.vn/products/wineco-hanh-la-l1-100gr--s10281879?storeGroupCode=1998&storeCode=1535,"3/14/2026, 3:10:54 PM",78b80237-ec1b-489c-bf85-afcf039fe25a
Xà lách lolo xanh WinEco 300g,Gói,11600.0,14500.0,https://winmart.vn/products/wineco-xa-lach-lolo-xanh-l1-300g--s10281893?storeGroupCode=1998&storeCode=1535,"3/14/2026, 3:10:54 PM",78b80237-ec1b-489c-bf85-afcf039fe25a
Xà lách mỡ WinEco 300g,Gói,19600.0,24500.0,https://winmart.vn/products/wineco-xa-lach-mo-l1-300g--s10283379?storeGroupCode=1998&storeCode=1535,"3/14/2026, 3:10:54 PM",78b80237-ec1b-489c-bf85-afcf039fe25a
Táo Ambrosia Mỹ size 88-113,1KG,105000.0,119000.0,https://winmart.vn/products/tao-ambrosia-my-size-88-113--s10071517?storeGroupCode=1998&storeCode=1535,"3/14/2026, 3:10:54 PM",78b80237-ec1b-489c-bf85-afcf039fe25a
Táo Rockit hộp 3 - 4 trái,Hộp,125000.0,139000.0,https://winmart.vn/products/tao-rockit-new-zealand-hop-4-trai--s10071566?storeGroupCode=1998&storeCode=1535,"3/14/2026, 3:10:54 PM",78b80237-ec1b-489c-bf85-afcf039fe25a
Táo Fuji Mỹ,1KG,89900.0,99900.0,https://winmart.vn/products/wmnk-tao-fuji-my--s10241411?storeGroupCode=1998&storeCode=1535,"3/14/2026, 3:10:54 PM",78b80237-ec1b-489c-bf85-afcf039fe25a
Cải thảo,1KG,12900.0,,https://winmart.vn/products/cai-thao--s10053860?storeGroupCode=1998&storeCode=1535,"3/14/2026, 3:10:54 PM",78b80237-ec1b-489c-bf85-afcf039fe25a
Củ đậu,1KG,19900.0,,https://winmart.vn/products/cu-dau--s10053939?storeGroupCode=1998&storeCode=1535,"3/14/2026, 3:10:54 PM",78b80237-ec1b-489c-bf85-afcf039fe25a
Khoai môn,1KG,32900.0,,https://winmart.vn/products/khoai-mon--s10053945?storeGroupCode=1998&storeCode=1535,"3/14/2026, 3:10:54 PM",78b80237-ec1b-489c-bf85-afcf039fe25a
Củ cải trắng,1KG,15900.0,,https://winmart.vn/products/cu-cai-trang--s10053938?storeGroupCode=1998&storeCode=1535,"3/14/2026, 3:10:54 PM",78b80237-ec1b-489c-bf85-afcf039fe25a
Khoai tây,1KG,19900.0,,https://winmart.vn/products/khoai-tay--s10053947?storeGroupCode=1998&storeCode=1535,"3/14/2026, 3:10:54 PM",78b80237-ec1b-489c-bf85-afcf039fe25a
Su su,1KG,12900.0,,https://winmart.vn/products/su-su--s10053949?storeGroupCode=1998&storeCode=1535,"3/14/2026, 3:10:54 PM",78b80237-ec1b-489c-bf85-afcf039fe25a
Bí đỏ tròn,1kg,24900.0,,https://winmart.vn/products/bi-do-tron--s10053953?storeGroupCode=1998&storeCode=1535,"3/14/2026, 3:10:54 PM",78b80237-ec1b-489c-bf85-afcf039fe25a
Khoai lang giống nhật,1KG,42900.0,,https://winmart.vn/products/khoai-lang-giong-nhat-xa--s10053980?storeGroupCode=1998&storeCode=1535,"3/14/2026, 3:10:54 PM",78b80237-ec1b-489c-bf85-afcf039fe25a
Bí xanh,1KG,19900.0,,https://winmart.vn/products/bi-xanh--s10053954?storeGroupCode=1998&storeCode=1535,"3/14/2026, 3:10:54 PM",78b80237-ec1b-489c-bf85-afcf039fe25a
