product_name,unit,final_price,marked_price,product_url,scrape_timestamp,run_id
Lốc 4 hộp sữa tươi tiệt trùng Nutimilk100 có đường 180ml,Gói 4,26100.0,33900.0,https://winmart.vn/products/nutimilk100-sttt-co-duong-180ml--s10170370?storeGroupCode=1998&storeCode=1535,"4/4/2026, 9:34:42 AM",d49a6ea5-d639-45d0-aa13-2be3c2d6846e
Lốc 4 hộp sữa tươi tiệt trùng Nutimilk100 ít đường 180ml,Gói 4,26100.0,33900.0,https://winmart.vn/products/nutimilk100-sttt-it-duong-180ml--s10170372?storeGroupCode=1998&storeCode=1535,"4/4/2026, 9:34:42 AM",d49a6ea5-d639-45d0-aa13-2be3c2d6846e
Lốc 6 hộp sữa tiệt trùng Binggrae hương dâu 200ml,Gói 6,87500.0,111000.0,https://winmart.vn/products/binggrae-sua-tiet-trung-h.dau-200ml--s10132400?storeGroupCode=1998&storeCode=1535,"4/4/2026, 9:34:42 AM",d49a6ea5-d639-45d0-aa13-2be3c2d6846e
Sữa tiệt trùng Binggrae vị chuối lốc 6 hộp x 200ml,Gói 6,87500.0,111000.0,https://winmart.vn/products/binggrae-sua-tiet-trung-h.chuoi-200ml--s10405641?storeGroupCode=1998&storeCode=1535,"4/4/2026, 9:34:42 AM",d49a6ea5-d639-45d0-aa13-2be3c2d6846e
Sữa tươi tiệt trùng Devondale nguyên chất 1L,Gói,54800.0,67900.0,https://winmart.vn/products/devondale-sua-tiet-trung-nguyen-chat-1l--s10605371?storeGroupCode=1998&storeCode=1535,"4/4/2026, 9:34:42 AM",d49a6ea5-d639-45d0-aa13-2be3c2d6846e
Sữa chua uống men sống hương dưa gang Probi lốc 5 chai x 65ml,Gói 5,21700.0,26600.0,https://winmart.vn/products/vinamilk-scu-probi-huong-dua-gang-65ml--s10005289?storeGroupCode=1998&storeCode=1535,"4/4/2026, 9:34:42 AM",d49a6ea5-d639-45d0-aa13-2be3c2d6846e
Lốc 4 hộp sữa chua uống TH Milk hương cam 180ml,Gói 4,30100.0,36200.0,https://winmart.vn/products/th-milk-sua-chua-uong-huong-cam-180ml--s10005316?storeGroupCode=1998&storeCode=1535,"4/4/2026, 9:34:42 AM",d49a6ea5-d639-45d0-aa13-2be3c2d6846e
Sữa chua uống tiệt trùng hương việt quất tự nhiên TH True Yogurt lốc 4 hộp x 180ml,Gói 4,30100.0,36200.0,https://winmart.vn/products/th-milk-scu-huong-viet-quat-180ml--s10005318?storeGroupCode=1998&storeCode=1535,"4/4/2026, 9:34:42 AM",d49a6ea5-d639-45d0-aa13-2be3c2d6846e
Sữa thanh trùng nguyên chất TH Milk 950ml,Hộp,41100.0,49500.0,https://winmart.vn/products/th-milk-sua-thanh-trung-nguyenchat-950ml--s10005407?storeGroupCode=1998&storeCode=1535,"4/4/2026, 9:34:42 AM",d49a6ea5-d639-45d0-aa13-2be3c2d6846e
Phô mai lát Hamburger Zott gói 200g,Gói,55600.0,67000.0,https://winmart.vn/products/zott-pho-mai-lat-hamburger-goi-200g--s10005841?storeGroupCode=1998&storeCode=1535,"4/4/2026, 9:34:42 AM",d49a6ea5-d639-45d0-aa13-2be3c2d6846e
Lốc 4 chai sữa chua uống có đường Probi Vinamilk 130ml,Gói 4,32200.0,38500.0,https://winmart.vn/products/vinamilk-scu-probi-co-duong-chai-130ml--s10005485?storeGroupCode=1998&storeCode=1535,"4/4/2026, 9:34:42 AM",d49a6ea5-d639-45d0-aa13-2be3c2d6846e
Sữa chua uống men sống Vinamilk Probi hương việt quất lốc 4 chai x 130ml,Gói 4,32200.0,38500.0,https://winmart.vn/products/vinamilk-scu-probi-h.-viet-quat-130ml--s10625998?storeGroupCode=1998&storeCode=1535,"4/4/2026, 9:34:42 AM",d49a6ea5-d639-45d0-aa13-2be3c2d6846e
Sữa dinh dưỡng Nutifood Varna Comlete 237ml,Chai,31700.0,37200.0,https://winmart.vn/products/nutifood-sua-dd-varna-comlete-237ml--s10196209?storeGroupCode=1998&storeCode=1535,"4/4/2026, 9:34:42 AM",d49a6ea5-d639-45d0-aa13-2be3c2d6846e
Lof Malto Sữa lúa mach Socola 180ml,Thùng,358800.0,,https://winmart.vn/products/lof-malto-sua-lua-mach-socola-180ml--s10196804?storeGroupCode=1998&storeCode=1535,"4/4/2026, 9:34:42 AM",d49a6ea5-d639-45d0-aa13-2be3c2d6846e
Lốc 4 hộp thức uống trái cây tươi vị nho 180ml,Gói 4,23700.0,28000.0,https://winmart.vn/products/nuvi-thuc-uong-tc-tuoi-vi-nho-180ml--s10266284?storeGroupCode=1998&storeCode=1535,"4/4/2026, 9:34:42 AM",d49a6ea5-d639-45d0-aa13-2be3c2d6846e
