product_name,unit,final_price,marked_price,product_url,scrape_timestamp,run_id
Gạo Ngọc Nương ST25 3 Kg,Gói,79900.0,115000.0,https://winmart.vn/products/ngoc-nuong-gao-st25-3-kg_tv--s10141757?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:42:05 PM",3b4faabb-22eb-4fa0-b6b6-8067cef8f9a3
Yến mạch Úc nguyên chất Xuân An gói 400g,Gói,59200.0,81200.0,https://winmart.vn/products/xuan-an-yen-mach-uc-nchat-goi-400g--s10013397?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:42:05 PM",3b4faabb-22eb-4fa0-b6b6-8067cef8f9a3
Gạo Ngọc Nương ST 25 đặc sản 3Kg,Gói,89900.0,123000.0,https://winmart.vn/products/ngoc-nuong-gao-st-25-dac-san-3kg-vns--s10141993?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:42:05 PM",3b4faabb-22eb-4fa0-b6b6-8067cef8f9a3
Yến mạch nguyên chất ăn liền Xuân An 800g,Hộp,106600.0,147000.0,https://winmart.vn/products/xuan-an-yen-mach-uc-nchat-hop-800g--s10223984?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:42:05 PM",3b4faabb-22eb-4fa0-b6b6-8067cef8f9a3
Gạo ST25 Bảo Minh lúa ruộng rươi 3kg,Gói,109900.0,147600.0,https://winmart.vn/products/bao-minh-gao-st25-lua-ruong-ruoi-3kg--s10142024?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:42:05 PM",3b4faabb-22eb-4fa0-b6b6-8067cef8f9a3
Yến mạch nguyên chất ăn liền nhập khẩu Úc Xuân An hộp 400g,Hộp,61100.0,83100.0,https://winmart.vn/products/xuan-an-yen-mach-nc-an-lien-nk-uc-400g--s10625513?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:42:05 PM",3b4faabb-22eb-4fa0-b6b6-8067cef8f9a3
Yến Mạch nguyên chất Oganic Xuân An gói 400g,Gói,84500.0,113000.0,https://winmart.vn/products/xuan-an-yen-mach-nchat-oganic-400g--s10131094?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:42:05 PM",3b4faabb-22eb-4fa0-b6b6-8067cef8f9a3
Rong biển Miwon cuộn nướng vị truyền thống 6g,Gói,12100.0,15700.0,https://winmart.vn/products/miwon-rong-bien-cuon-nuong-vi-tr.thong6g--s10142167?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:42:05 PM",3b4faabb-22eb-4fa0-b6b6-8067cef8f9a3
Rong biển Miwon cuộn nướng vị mực 6g,Gói,12100.0,15700.0,https://winmart.vn/products/miwon-rong-bien-cuon-nuong-vi-muc-6g--s10142169?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:42:05 PM",3b4faabb-22eb-4fa0-b6b6-8067cef8f9a3
Rong biển Miwon cuộn nướng vị pho mai 6g,Gói,12100.0,15700.0,https://winmart.vn/products/miwon-rong-bien-cuon-nuong-vi-pho-mai-6g--s10142168?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:42:05 PM",3b4faabb-22eb-4fa0-b6b6-8067cef8f9a3
Rong biển Hàn Quốc Miwon gói 100g,Gói,91100.0,117000.0,https://winmart.vn/products/miwon-rong-bien-han-quoc-goi-100g--s10010281?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:42:05 PM",3b4faabb-22eb-4fa0-b6b6-8067cef8f9a3
Rong biển Hàn Quốc Miwon gói 50g,Gói,47300.0,60600.0,https://winmart.vn/products/miwon-rong-bien-han-quoc-goi-50g--s10010280?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:42:05 PM",3b4faabb-22eb-4fa0-b6b6-8067cef8f9a3
Yến Mạch Oatta Trái Cây 300g,Gói,81300.0,101000.0,https://winmart.vn/products/oatta-yen-mach-trai-cay-300g--s10181143?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:42:05 PM",3b4faabb-22eb-4fa0-b6b6-8067cef8f9a3
Ngũ cốc dinh dưỡng Mueslix Orchard Beauty Kellogg's hộp 375g,Hộp,111900.0,139000.0,https://winmart.vn/products/kelloggs-n.coc-dd-muesli-355g--s10015539?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:42:05 PM",3b4faabb-22eb-4fa0-b6b6-8067cef8f9a3
Thịt áp chảo Ponnie hộp 200g,Hộp,53700.0,66700.0,https://winmart.vn/products/ponnie-thit-ap-chao-200g--s10141960?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:42:05 PM",3b4faabb-22eb-4fa0-b6b6-8067cef8f9a3
Lá kim Miwon tẩm gia vị 22g,Gói,27100.0,33400.0,https://winmart.vn/products/miwon-la-kim-tam-gia-vi-22g--s10142170?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:42:05 PM",3b4faabb-22eb-4fa0-b6b6-8067cef8f9a3
Gạo ST25 Giống Cây Trồng TW túi 3kg,Gói,97900.0,119900.0,https://winmart.vn/products/vinaseed-gao-st25-tui-3kg--s10141040?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:42:05 PM",3b4faabb-22eb-4fa0-b6b6-8067cef8f9a3
Ngũ cốc ăn sáng Koko Krunch vị sô cô la Nestlé hộp 330g,Hộp,95600.0,115000.0,https://winmart.vn/products/krunch-nestle-ngu-coc-kokoscl-300g--s10013752?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:42:05 PM",3b4faabb-22eb-4fa0-b6b6-8067cef8f9a3
Ngũ cốc mật ong Honey Stars hộp 300g,Hộp,95600.0,115000.0,https://winmart.vn/products/honey-stars-ngu-coc-matong-300g--s10015558?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:42:05 PM",3b4faabb-22eb-4fa0-b6b6-8067cef8f9a3
Ngũ cốc ăn sáng Milo Nestlé hộp 330g,Gói,95600.0,115000.0,https://winmart.vn/products/milo-nestle-ngu-coc-an-sang-h300--s10015556?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:42:05 PM",3b4faabb-22eb-4fa0-b6b6-8067cef8f9a3
Bơ thực vật Meizan hộp 80g,Hộp,9300.0,11100.0,https://winmart.vn/products/meizan-bo-thuc-vat-meizan-hop-80g--s10005754?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:42:05 PM",3b4faabb-22eb-4fa0-b6b6-8067cef8f9a3
Gạo phúc thọ cây trồng Vinaseed hộp 1kg,Hộp,46700.0,54700.0,https://winmart.vn/products/vinaseed-gao-phuc-tho-cay-trong-1kg--s10605189?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:42:05 PM",3b4faabb-22eb-4fa0-b6b6-8067cef8f9a3
Cá ngừ Nautilus xắt khúc ngâm dầu thực vật,Lon,33700.0,39000.0,https://winmart.vn/products/seacrown-ca-ngu-c.khuc-ngamdaut.vat-140g--s10007734?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:42:05 PM",3b4faabb-22eb-4fa0-b6b6-8067cef8f9a3
Bột mì đa dụng Meizan gói 500g,Gói,13900.0,16100.0,https://winmart.vn/products/meizan-bot-my-da-dung-500g-mb--s10010026?storeGroupCode=1998&storeCode=1535,"1/6/2026, 2:42:05 PM",3b4faabb-22eb-4fa0-b6b6-8067cef8f9a3
