product_name,unit,final_price,marked_price,product_url,scrape_timestamp,run_id
Khoai tây chiên đông lạnh Đôi Đũa Vàng gói 500g,Gói,32900.0,43500.0,https://winmart.vn/products/doi-dua-vang-khoai-tay-chien-goi-400g--s10006991?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Nước lẩu nấm Icook Ashima gói 1L,Gói,99500.0,126000.0,https://winmart.vn/products/icook-nuoc-lau-nam-ashima-goi-1l--s10006637?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Chả giò da xốp tôm thịt Cầu Tre gói 400g,Gói,60800.0,76900.0,https://winmart.vn/products/cau-tre-cha-gio-da-xop-tom-thit-400g--s10170216?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Khoai tây Golden Longs McCain 750g,Gói,85100.0,106600.0,https://winmart.vn/products/mccain-khoai-tay-golden-long-goi-750g--s10006987?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Bánh xếp Hàn Quốc CJ Foods nhân tôm 300g,Gói,62300.0,77500.0,https://winmart.vn/products/bibigo-banh-xep-hq-nhan-tom-300g--s10183401?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Cá viên Kitkool 200g,Gói,29900.0,36900.0,https://winmart.vn/products/kitkool-ca-vien-200g--s10183332?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Tôm viên Hoa Doanh gói 200g,Gói,25900.0,32000.0,https://winmart.vn/products/hoa-doanh-tom-viengoi-200g--s10602470?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Cá viên Hoa Doanh gói 200g,Gói,20500.0,25000.0,https://winmart.vn/products/hoa-doanh-ca-vien-goi-200g--s10602574?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Há cảo tôm cua Thực Phẩm Cầu Tre gói 500g,Gói,67000.0,80500.0,https://winmart.vn/products/cau-tre-ha-cao-hai-san-goi-500g--s10006558?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Chả giò đặc biệt hải sản Thực Phẩm Cầu Tre gói 500g,Gói,67900.0,80400.0,https://winmart.vn/products/cau-tre-cha-gio-dac-biet-hai-san-goi500g--s10007065?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Chả giò Real thịt gói 400g,Gói,59900.0,71300.0,https://winmart.vn/products/cau-tre-cha-gio-real-thit-goi-400g--s10321760?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Bánh xếp Hàn Quốc Bibigo nhân hải sản 350g,Gói,55900.0,66500.0,https://winmart.vn/products/bibigo-banh-xep-hq-nhan-hai-san-350g--s10605332?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Giò tai lưỡi xào Thu Hằng Food gói 250g,Gói,56000.0,65900.0,https://winmart.vn/products/ngoc-thom-gio-tai-luoi-xao-goi-250g--s10638307?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Lẩu Tomyum ba chỉ bò Mỹ Orifood 1.3kg,Hộp,254900.0,292000.0,https://winmart.vn/products/orifood-lau-tomyum-ba-chi-bo-my-1.3kg--s10601287?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Tôm thịt Home Food 16/20 450g,Khay,200700.0,229000.0,https://winmart.vn/products/home-food-tom-thit-1620-450g--s10006519?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Khoai tây đông lạnh sợi lớn Fries - Frites Lutosa túi 1kg,Gói,82200.0,92000.0,https://winmart.vn/products/lutosa-khoai-tay-d.lanh-soi-lon-1kg--s10006975?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Thịt bò Bít tết Fuji gói 200g,Gói,193900.0,208000.0,https://winmart.vn/products/fuji-thit-bo-bit-tet-200g--s10315293?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Nem chua Ước Lễ Thủy Hùng gói 200g,Gói,54200.0,,https://winmart.vn/products/thuy-hung-nem-chua-uoc-le-goi-200g--s10005927?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Nem chua Ước Lễ Thủy Hùng cây 200g,Cái,49100.0,,https://winmart.vn/products/thuy-hung-nem-chua-uoc-le-cay-200g--s10005926?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Nem chua Vissan cây 200g,Cái,41700.0,,https://winmart.vn/products/vissan-nem-chua-cay-200g--s10005925?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Giò lụa Vissan cây 250g,Cái,58400.0,,https://winmart.vn/products/vissan-gio-lua-cay-250g--s10005941?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Giò bò đặc biệt Vissan cây 500g,Cái,156600.0,,https://winmart.vn/products/vissan-gio-bo-dac-biet-cay-500g--s10006004?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Tôm thịt 51/70 Đôi Đũa Vàng khay 252g,Khay,143000.0,,https://winmart.vn/products/doi-dua-vang-tom-thit-5170-khay-252g--s10006472?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Que Surimi Kani Supreme hương cua gói 250g,Gói,95000.0,,https://winmart.vn/products/kani-supreme-que-surimi-h.cua-goi-250g--s10006482?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Mực trứng đông lạnh Thaibifood loại A khay 450g,Khay,124000.0,,https://winmart.vn/products/thabifood-muc-trung-dl-loai-a-khay-450g--s10006499?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Tôm thịt THABIFOOD size 26/30 khay 450g,Khay,174600.0,,https://winmart.vn/products/thabifood-tom-thit-size-2630-khay-450g--s10006507?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Que surimi Kani Fresh hương cua gói 250g,Gói,89000.0,,https://winmart.vn/products/kani-fresh-que-surimi-huong-cua-goi-250g--s10006483?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Tôm thịt THABIFOOD size 8/12 khay 450g,Khay,235900.0,,https://winmart.vn/products/thabifood-tom-thit-size-812-khay-450g--s10006505?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Tôm thịt Home Food size 71/90 khay 450g,Khay,163600.0,,https://winmart.vn/products/home-food-tom-thit-size-7190-khay-450g--s10006522?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Tôm thịt Thaibifood size 31/40 khay 450g,Khay,157300.0,,https://winmart.vn/products/thabifood-tom-thit-size-3140-khay-450g--s10006508?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Viên hải sản rau củ Thabifood gói 500g,Gói,64000.0,,https://winmart.vn/products/thabifood-vien-hai-san-rau-cu-goi-500g--s10006509?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Tôm thịt 31/40 Đôi Đũa Vàngkhay 252g,Khay,167000.0,,https://winmart.vn/products/doi-dua-vang-tom-thit-3140-khay-252g--s10006470?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Lẩu Thái SGFood Việt Nam 500g,Khay,84800.0,,https://winmart.vn/products/sgfood-lau-thai-viet-nam-500g--s10006456?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Cá trứng SG Food khay 200g,Khay,48400.0,,https://winmart.vn/products/sgfood-ca-trung-goi-200g--s10006458?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Nem tôm cua Đôi Đũa Vàng gói 480g,Gói,80500.0,,https://winmart.vn/products/doi-dua-vang-nem-tom-cua-goi-480g--s10006542?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Há cảo Thực Phẩm Cầu Tre gói 500g,Gói,58200.0,,https://winmart.vn/products/cau-tre-ha-cao-goi-500g--s10006557?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Chả mực giã tay Đôi Đũa Vàng gói 480g,Gói,229700.0,,https://winmart.vn/products/doi-dua-vang-cha-muc-gia-tay-goi-480g--s10006550?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Xíu mại Thực Phẩm Cầu Tre Gói 500g,Gói,78800.0,,https://winmart.vn/products/cau-tre-xiu-mai-goi-500g--s10006563?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Cua đồng tinh chất Minh Tiến gói 200g,Gói,71700.0,,https://winmart.vn/products/minh-tien-cua-dong-tinh-chat-goi-200g--s10006608?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Há cảo mini Thực Phẩm Cầu Tre gói 500g,Gói,78800.0,,https://winmart.vn/products/cau-tre-ha-cao-mini-goi-500g--s10006560?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Mực trứng Minh Tiến gói 400g,Khay,109200.0,,https://winmart.vn/products/minh-tien-muc-trung-goi-400g--s10006621?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Tôm sú tươi Minh Tiến size 61/70 450g,Khay,137300.0,,https://winmart.vn/products/minh-tien-tom-su-tuoi-size-6170-kh-450g--s10006624?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Cua đồng xay Minh Tiến gói 500g,Gói,80700.0,,https://winmart.vn/products/minh-tien-cua-dong-xay-goi-500g--s10006654?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Tôm thịt Home Food sixe 41/50 gói 450g,Khay,178200.0,,https://winmart.vn/products/home-food-tom-thit-size-4150-goi-450g--s10006656?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Thịt cua đồng xay tinh chế Vinacua gói 250g,Gói,77700.0,,https://winmart.vn/products/vinacua-thit-cua-dong-tinh-che-goi-250g--s10006639?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Mực ống size 10-12 Hải Nam 500g,Gói,179900.0,,https://winmart.vn/products/hai-nam-muc-ong-size-10-12-500g--s10006744?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Bò viên Xì Tin gói 340g,Gói,82000.0,,https://winmart.vn/products/sgfood-bo-vien-xi-tin-goi-340g--s10006757?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
Pizza Đôi Đũa Vàng nhân hải sản hộp 350g,Hộp,110700.0,,https://winmart.vn/products/doi-dua-vang-pizza-nhan-hai-san-hop-350g--s10006946?storeGroupCode=1998&storeCode=1535,"2/3/2026, 3:22:34 PM",d996d92a-0cbb-430a-8aee-f79e5fe89130
