product_name,unit,final_price,marked_price,product_url,scrape_timestamp,run_id
Khoai tây chiên đông lạnh Đôi Đũa Vàng gói 500g,Gói,32900.0,43500.0,https://winmart.vn/products/doi-dua-vang-khoai-tay-chien-goi-400g--s10006991?storeGroupCode=1998&storeCode=1535,"2/13/2026, 3:16:30 PM",9b0bc11f-7ed0-4d9f-bf1b-142452c96f92
Thịt nghêu Lenger 200g,Gói,58000.0,73000.0,https://winmart.vn/products/lenger-thit-ngheu-200g--s10140828?storeGroupCode=1998&storeCode=1535,"2/13/2026, 3:16:30 PM",9b0bc11f-7ed0-4d9f-bf1b-142452c96f92
Chả giò da xốp tôm thịt Cầu Tre gói 400g,Gói,60800.0,76900.0,https://winmart.vn/products/cau-tre-cha-gio-da-xop-tom-thit-400g--s10170216?storeGroupCode=1998&storeCode=1535,"2/13/2026, 3:16:30 PM",9b0bc11f-7ed0-4d9f-bf1b-142452c96f92
Khoai tây Golden Longs McCain 750g,Gói,85100.0,106600.0,https://winmart.vn/products/mccain-khoai-tay-golden-long-goi-750g--s10006987?storeGroupCode=1998&storeCode=1535,"2/13/2026, 3:16:30 PM",9b0bc11f-7ed0-4d9f-bf1b-142452c96f92
Bánh xếp Hàn Quốc CJ Foods nhân tôm 300g,Gói,62300.0,77500.0,https://winmart.vn/products/bibigo-banh-xep-hq-nhan-tom-300g--s10183401?storeGroupCode=1998&storeCode=1535,"2/13/2026, 3:16:30 PM",9b0bc11f-7ed0-4d9f-bf1b-142452c96f92
Thịt bò Bít tết Fuji gói 200g,Gói,170000.0,208000.0,https://winmart.vn/products/fuji-thit-bo-bit-tet-200g--s10315293?storeGroupCode=1998&storeCode=1535,"2/13/2026, 3:16:30 PM",9b0bc11f-7ed0-4d9f-bf1b-142452c96f92
Há cảo tôm cua Thực Phẩm Cầu Tre gói 500g,Gói,67000.0,80500.0,https://winmart.vn/products/cau-tre-ha-cao-hai-san-goi-500g--s10006558?storeGroupCode=1998&storeCode=1535,"2/13/2026, 3:16:30 PM",9b0bc11f-7ed0-4d9f-bf1b-142452c96f92
Chả giò đặc biệt hải sản Thực Phẩm Cầu Tre gói 500g,Gói,67900.0,80400.0,https://winmart.vn/products/cau-tre-cha-gio-dac-biet-hai-san-goi500g--s10007065?storeGroupCode=1998&storeCode=1535,"2/13/2026, 3:16:30 PM",9b0bc11f-7ed0-4d9f-bf1b-142452c96f92
Chả giò Real thịt gói 400g,Gói,59900.0,71300.0,https://winmart.vn/products/cau-tre-cha-gio-real-thit-goi-400g--s10321760?storeGroupCode=1998&storeCode=1535,"2/13/2026, 3:16:30 PM",9b0bc11f-7ed0-4d9f-bf1b-142452c96f92
Bánh xếp Hàn Quốc Bibigo nhân hải sản 350g,Gói,55900.0,66500.0,https://winmart.vn/products/bibigo-banh-xep-hq-nhan-hai-san-350g--s10605332?storeGroupCode=1998&storeCode=1535,"2/13/2026, 3:16:30 PM",9b0bc11f-7ed0-4d9f-bf1b-142452c96f92
Giò tai lưỡi xào Thu Hằng Food gói 250g,Gói,56000.0,65900.0,https://winmart.vn/products/ngoc-thom-gio-tai-luoi-xao-goi-250g--s10638307?storeGroupCode=1998&storeCode=1535,"2/13/2026, 3:16:30 PM",9b0bc11f-7ed0-4d9f-bf1b-142452c96f92
Lẩu Tomyum ba chỉ bò Mỹ Orifood 1.3kg,Hộp,254900.0,292000.0,https://winmart.vn/products/orifood-lau-tomyum-ba-chi-bo-my-1.3kg--s10601287?storeGroupCode=1998&storeCode=1535,"2/13/2026, 3:16:30 PM",9b0bc11f-7ed0-4d9f-bf1b-142452c96f92
Khoai tây đông lạnh sợi lớn Fries - Frites Lutosa túi 1kg,Gói,82200.0,92000.0,https://winmart.vn/products/lutosa-khoai-tay-d.lanh-soi-lon-1kg--s10006975?storeGroupCode=1998&storeCode=1535,"2/13/2026, 3:16:30 PM",9b0bc11f-7ed0-4d9f-bf1b-142452c96f92
Chả viên thát lát bắp Phạm Nghĩa 200g,Gói,54000.0,59000.0,https://winmart.vn/products/pham-nghia-cha-vien-that-lat-bap-200g--s10265834?storeGroupCode=1998&storeCode=1535,"2/13/2026, 3:16:30 PM",9b0bc11f-7ed0-4d9f-bf1b-142452c96f92
Chả viên thát lát cà rốt Phạm Nghĩa 200g,Gói,54000.0,59000.0,https://winmart.vn/products/pham-nghia-cha-vien-that-lat-ca-rot-200g--s10265835?storeGroupCode=1998&storeCode=1535,"2/13/2026, 3:16:30 PM",9b0bc11f-7ed0-4d9f-bf1b-142452c96f92
Nem chua Vissan cây 200g,Cái,41700.0,,https://winmart.vn/products/vissan-nem-chua-cay-200g--s10005925?storeGroupCode=1998&storeCode=1535,"2/13/2026, 3:16:30 PM",9b0bc11f-7ed0-4d9f-bf1b-142452c96f92
Giò lụa Vissan cây 250g,Cái,58400.0,,https://winmart.vn/products/vissan-gio-lua-cay-250g--s10005941?storeGroupCode=1998&storeCode=1535,"2/13/2026, 3:16:30 PM",9b0bc11f-7ed0-4d9f-bf1b-142452c96f92
Lẩu Thái SGFood Việt Nam 500g,Khay,84800.0,,https://winmart.vn/products/sgfood-lau-thai-viet-nam-500g--s10006456?storeGroupCode=1998&storeCode=1535,"2/13/2026, 3:16:30 PM",9b0bc11f-7ed0-4d9f-bf1b-142452c96f92
Tôm thịt 51/70 Đôi Đũa Vàng khay 252g,Khay,143000.0,,https://winmart.vn/products/doi-dua-vang-tom-thit-5170-khay-252g--s10006472?storeGroupCode=1998&storeCode=1535,"2/13/2026, 3:16:30 PM",9b0bc11f-7ed0-4d9f-bf1b-142452c96f92
Que Surimi Kani Supreme hương cua gói 250g,Gói,95000.0,,https://winmart.vn/products/kani-supreme-que-surimi-h.cua-goi-250g--s10006482?storeGroupCode=1998&storeCode=1535,"2/13/2026, 3:16:30 PM",9b0bc11f-7ed0-4d9f-bf1b-142452c96f92
Tôm thịt 31/40 Đôi Đũa Vàngkhay 252g,Khay,167000.0,,https://winmart.vn/products/doi-dua-vang-tom-thit-3140-khay-252g--s10006470?storeGroupCode=1998&storeCode=1535,"2/13/2026, 3:16:30 PM",9b0bc11f-7ed0-4d9f-bf1b-142452c96f92
Que surimi Kani Fresh hương cua gói 250g,Gói,89000.0,,https://winmart.vn/products/kani-fresh-que-surimi-huong-cua-goi-250g--s10006483?storeGroupCode=1998&storeCode=1535,"2/13/2026, 3:16:30 PM",9b0bc11f-7ed0-4d9f-bf1b-142452c96f92
Mực trứng đông lạnh Thaibifood loại A khay 450g,Khay,124000.0,,https://winmart.vn/products/thabifood-muc-trung-dl-loai-a-khay-450g--s10006499?storeGroupCode=1998&storeCode=1535,"2/13/2026, 3:16:30 PM",9b0bc11f-7ed0-4d9f-bf1b-142452c96f92
Tôm thịt THABIFOOD size 8/12 khay 450g,Khay,235900.0,,https://winmart.vn/products/thabifood-tom-thit-size-812-khay-450g--s10006505?storeGroupCode=1998&storeCode=1535,"2/13/2026, 3:16:30 PM",9b0bc11f-7ed0-4d9f-bf1b-142452c96f92
Tôm thịt THABIFOOD size 26/30 khay 450g,Khay,174600.0,,https://winmart.vn/products/thabifood-tom-thit-size-2630-khay-450g--s10006507?storeGroupCode=1998&storeCode=1535,"2/13/2026, 3:16:30 PM",9b0bc11f-7ed0-4d9f-bf1b-142452c96f92
Tôm thịt Thaibifood size 31/40 khay 450g,Khay,157300.0,,https://winmart.vn/products/thabifood-tom-thit-size-3140-khay-450g--s10006508?storeGroupCode=1998&storeCode=1535,"2/13/2026, 3:16:30 PM",9b0bc11f-7ed0-4d9f-bf1b-142452c96f92
Tôm thịt Home Food 16/20 450g,Khay,229000.0,,https://winmart.vn/products/home-food-tom-thit-1620-450g--s10006519?storeGroupCode=1998&storeCode=1535,"2/13/2026, 3:16:30 PM",9b0bc11f-7ed0-4d9f-bf1b-142452c96f92
Viên hải sản rau củ Thabifood gói 500g,Gói,64000.0,,https://winmart.vn/products/thabifood-vien-hai-san-rau-cu-goi-500g--s10006509?storeGroupCode=1998&storeCode=1535,"2/13/2026, 3:16:30 PM",9b0bc11f-7ed0-4d9f-bf1b-142452c96f92
Tôm thịt Home Food size 71/90 khay 450g,Khay,163600.0,,https://winmart.vn/products/home-food-tom-thit-size-7190-khay-450g--s10006522?storeGroupCode=1998&storeCode=1535,"2/13/2026, 3:16:30 PM",9b0bc11f-7ed0-4d9f-bf1b-142452c96f92
