product_name,subcategory,parent_category
Cháo tổ yến rong biển thịt bằm LC Foods 50g,Cháo,Mì - Thực Phẩm Ăn Liền
Bánh đa cua Hoàng Gia gói 120g,Miến - Hủ Tíu - Bánh Canh,Mì - Thực Phẩm Ăn Liền
Hủ tiếu Nam Vang Hoàng Gia Vifon thùng 18 gói x 120g,Miến - Hủ Tíu - Bánh Canh,Mì - Thực Phẩm Ăn Liền
Tokpokki Hàn Quốc vị phô mai gói 140g,Mì,Mì - Thực Phẩm Ăn Liền
Bánh gạo tokpokki tròn O'food vị phô mai ly 105g,Mì,Mì - Thực Phẩm Ăn Liền
Topokki Hàn Quốc vị truyền thống OFood hộp 105g,Mì,Mì - Thực Phẩm Ăn Liền
Tokpokki MiWon Hàn Quốc vị phô mai hộp 105g,Mì,Mì - Thực Phẩm Ăn Liền
Tokpokki Hàn Quốc vị truyền thống gói 140g,Mì,Mì - Thực Phẩm Ăn Liền
Bún bò Huế Vifon Hoàng Gia gói 120g,Phở - Bún,Mì - Thực Phẩm Ăn Liền
Tokpokki MiWon Hàn Quốc vị phô mai gói 140g,Mì,Mì - Thực Phẩm Ăn Liền
Nui ống Meizan gói 200g,Mì,Mì - Thực Phẩm Ăn Liền
Mì Shin Nongshim ly 75g,Mì,Mì - Thực Phẩm Ăn Liền
Mì Chapaghetti Nongshim gói 140g,Mì,Mì - Thực Phẩm Ăn Liền
Mì trứng cao cấp Meizan gói 250g,Mì,Mì - Thực Phẩm Ăn Liền
Mì khô gà cay vị phô mai Samyang gói 140g,Mì,Mì - Thực Phẩm Ăn Liền
Cháo thịt gà Vifon gói 70g,Cháo,Mì - Thực Phẩm Ăn Liền
Cháo thịt bằm Vifon gói 70g,Cháo,Mì - Thực Phẩm Ăn Liền
Mì Kimchi gói 8 bịch,Mì,Mì - Thực Phẩm Ăn Liền
Nui cao cấp Meizan chữ C 400g,Mì,Mì - Thực Phẩm Ăn Liền
Nui ống Meizan gói 400g,Mì,Mì - Thực Phẩm Ăn Liền
MEIZAN Mì Chay Cao Cấp Meizan 250g,Mì,Mì - Thực Phẩm Ăn Liền
Thùng 30 gói mì khoai tây vị cua bể rau răm Cung Đình 79g,Mì,Mì - Thực Phẩm Ăn Liền
Thùng 30 gói mì ăn liền khoai tây Cung Đình Micoem vị gà hầm 79g,Mì,Mì - Thực Phẩm Ăn Liền
Thùng 30 gói mì ăn liền khoai tây Cung Đình Micoem vị sườn heo hầm măng 79g,Mì,Mì - Thực Phẩm Ăn Liền
Thùng 30 gói mì khoai tây hương vị thịt hầm nấm Cung Đình 79g,Mì,Mì - Thực Phẩm Ăn Liền
Mì Ý spaghetti số 3 Pasta Zara gói 500g,Mì,Mì - Thực Phẩm Ăn Liền
Mì ăn liền khoai tây Cung Đình Micoem vị lẩu tôm chua cay gói 80g,Mì,Mì - Thực Phẩm Ăn Liền
Thùng 30 gói mì ăn liền khoai tây Cung Đình Micoem lẩu tôm chua cay 77g,Mì,Mì - Thực Phẩm Ăn Liền
Thùng 30 gói mì ăn liền khoai tây Cung Đình xương hầm ngũ quả 80g,Mì,Mì - Thực Phẩm Ăn Liền
Phở Có Gói Xốt Thịt Vị Bò 70g,Phở - Bún,Mì - Thực Phẩm Ăn Liền
Phở Có Gói Xốt Thịt Vị Gà 70g,Phở - Bún,Mì - Thực Phẩm Ăn Liền
Mì trứng cao cấp Meizan 500g,Mì,Mì - Thực Phẩm Ăn Liền
Mỳ Jin JjaJang OTTOGI 135g,Mì,Mì - Thực Phẩm Ăn Liền
Mì spaghetti số 25 Santa Lucia gói 500g,Mì,Mì - Thực Phẩm Ăn Liền
Mì lẩu nấm chua cay Reeva gói 85g,Mì,Mì - Thực Phẩm Ăn Liền
Mì Trộn Tương Đen Paldo gói 78g,Mì,Mì - Thực Phẩm Ăn Liền
Mì Ý Agnesi Spaghettini N’2 500g,Mì,Mì - Thực Phẩm Ăn Liền
Mì Ý Agnesi Spaghettini N’3 500g,Mì,Mì - Thực Phẩm Ăn Liền
Miến Măng Vịt Vifon gói 105g,Miến - Hủ Tíu - Bánh Canh,Mì - Thực Phẩm Ăn Liền
Miến Sườn Heo Vifon Miến Sườn Heo 50g gói 50g,Miến - Hủ Tíu - Bánh Canh,Mì - Thực Phẩm Ăn Liền
Miến lẩu Thái Vifon gói 60g,Miến - Hủ Tíu - Bánh Canh,Mì - Thực Phẩm Ăn Liền
Mì Ý Angel Hair Barilla hộp 500g,Mì,Mì - Thực Phẩm Ăn Liền
Mì Spaghettini n.3 Barilla hộp 500g,Mì,Mì - Thực Phẩm Ăn Liền
Mì Spaghetti Barilla số 5 hộp 500g,Mì,Mì - Thực Phẩm Ăn Liền
Mì trộn tương đen cay koreno gói 78g,Mì,Mì - Thực Phẩm Ăn Liền
Mì lẩu thái hương vị chua cay Koreno 74g,Mì,Mì - Thực Phẩm Ăn Liền
Mì trộn ăn liền Jjajangmen Paldo gói 200g,Mì,Mì - Thực Phẩm Ăn Liền
Mì chay rau nấm Vifon gói 65g,Mì,Mì - Thực Phẩm Ăn Liền
Mì Spaghetti Olivoilà sợi N.5 500g,Mì,Mì - Thực Phẩm Ăn Liền
Mì xào tương đen Vifon khay 90g,Mì,Mì - Thực Phẩm Ăn Liền
Bún tươi Safoco gói 300g,Phở - Bún,Mì - Thực Phẩm Ăn Liền
Thùng 30 gói mì trộn khoai tây sốt spaghetti Omachi 91g,Mì,Mì - Thực Phẩm Ăn Liền
Thùng 30 gói bánh đa cua Vifon 60g,Miến - Hủ Tíu - Bánh Canh,Mì - Thực Phẩm Ăn Liền
Bánh phở khô Bông Lúa Vàng Vifon gói 400g,Phở - Bún,Mì - Thực Phẩm Ăn Liền
Bún bò Huế Vifon gói 65g,Phở - Bún,Mì - Thực Phẩm Ăn Liền
Mì xào NISSIN hương vị gà cay phô mai Hàn Quốc gói 72g,Mì,Mì - Thực Phẩm Ăn Liền
Cháo gà Vifon gói 50g,Cháo,Mì - Thực Phẩm Ăn Liền
Cháo thịt bằm Vifon gói 50g,Cháo,Mì - Thực Phẩm Ăn Liền
Cháo yến đậu xanh gà hầm hạt sen Yến Việt ly 50g,Cháo,Mì - Thực Phẩm Ăn Liền
Mì bò cay phô mai Nissin 70g,Mì,Mì - Thực Phẩm Ăn Liền
Mì gói ăn liền hai tôm chính hiệu Vifon thùng 30 gói x75g,Mì,Mì - Thực Phẩm Ăn Liền
Cháo yến Yến Việt thịt bằm nest IQ 50g,Cháo,Mì - Thực Phẩm Ăn Liền
Bánh tráng Safoco Việt Nam gói 200g,Mì,Mì - Thực Phẩm Ăn Liền
Bánh tráng Safoco gói 300g,Mì,Mì - Thực Phẩm Ăn Liền
Bún khô Safoco gói 400g,Phở - Bún,Mì - Thực Phẩm Ăn Liền
Nui xoắn Safoco gói 300g,Mì,Mì - Thực Phẩm Ăn Liền
Nui ống lớn Safoco gói 200g,Mì,Mì - Thực Phẩm Ăn Liền
Cháo yến vị gà Yến Việt gói 50g,Cháo,Mì - Thực Phẩm Ăn Liền
Cháo yến thịt bằm Yến Việt gói 50g,Cháo,Mì - Thực Phẩm Ăn Liền
Cháo yến chay rau nấm Yến Việt gói 50g,Cháo,Mì - Thực Phẩm Ăn Liền
Mì khô gà cay Samyang ly 70g,Mì,Mì - Thực Phẩm Ăn Liền
Mì ăn liền Koreno Jumbo vị kim chi Paldo túi 1kg,Mì,Mì - Thực Phẩm Ăn Liền
Mì Koreno vị tôm gói 1kg,Mì,Mì - Thực Phẩm Ăn Liền
Mì ăn liền Koreno vị gà Paldo túi 1kg,Mì,Mì - Thực Phẩm Ăn Liền
Mì vị bò cay Paldo gói 1kg,Mì,Mì - Thực Phẩm Ăn Liền
Mì Koreno jumbo hải sản túi 1kg,Mì,Mì - Thực Phẩm Ăn Liền
Jumbo Koreno Mì nấm 1kg,Mì,Mì - Thực Phẩm Ăn Liền
Mì gói ăn liền khoai tây vị xốt bò hầm Omachi thùng 30 gói x 80g,Mì,Mì - Thực Phẩm Ăn Liền
Mì ăn liền khoai tây sườn ngủ quả Omachi thùng 30 gói x 80g,Mì,Mì - Thực Phẩm Ăn Liền
Thùng 24 gói mì ăn liền Udon Nhật Bản Acecook 75g,Mì,Mì - Thực Phẩm Ăn Liền
Mì Udon Sưki Sưki Teriyaki 82g,Mì,Mì - Thực Phẩm Ăn Liền
Phở trộn Đệ Nhất hương vị thập cẩm cay gói 84g,Phở - Bún,Mì - Thực Phẩm Ăn Liền
Phở trộn Đệ Nhất hương vị bò gói 84g,Phở - Bún,Mì - Thực Phẩm Ăn Liền
Bánh đa nem 200g dày Thiên Nhiên Xanh,Miến - Hủ Tíu - Bánh Canh,Mì - Thực Phẩm Ăn Liền
Miến dong Bắc Kạn Thiên Nhiên Xanh 500g,Miến - Hủ Tíu - Bánh Canh,Mì - Thực Phẩm Ăn Liền
Thùng 30 gói mì hương vị thịt bằm Đệ Nhất gói 83g,Mì,Mì - Thực Phẩm Ăn Liền
Thùng 30 gói mì lẩu Thái hương vị tôm Vina 80g/81g,Mì,Mì - Thực Phẩm Ăn Liền
Thùng 24 ly mì Hảo Hảo vị tôm chua cay Acecook 67g,Mì,Mì - Thực Phẩm Ăn Liền
