product_name,unit,final_price,marked_price,product_url,scrape_timestamp,run_id
Bánh sừng bò Bauli Moonfils Socola 45g,Cái,7600.0,10600.0,https://winmart.vn/products/bauli-moonfils-banh-sung-bo-socola-45g--s10603099?storeGroupCode=1998&storeCode=1535,"12/31/2025, 2:40:33 PM",bf16bb7c-f0b2-408c-abf1-c2a6e960c0bd
Bánh sừng bò Bauli Moonfils Vanilla 47g,Cái,7600.0,10600.0,https://winmart.vn/products/bauli-moonfils-banh-sung-bo-vani-45g--s10603100?storeGroupCode=1998&storeCode=1535,"12/31/2025, 2:40:33 PM",bf16bb7c-f0b2-408c-abf1-c2a6e960c0bd
Bánh sừng bò Bauli Moonfils Dâu 45g,Cái,7600.0,10600.0,https://winmart.vn/products/bauli-moonfils-banh-sung-bo-dau-45g--s10603101?storeGroupCode=1998&storeCode=1535,"12/31/2025, 2:40:33 PM",bf16bb7c-f0b2-408c-abf1-c2a6e960c0bd
Thạch đen Cao Bằng Thạch An 480g,Hộp,25500.0,34100.0,https://winmart.vn/products/thach-an-thach-den-cao-bang-480g--s10315702?storeGroupCode=1998&storeCode=1535,"12/31/2025, 2:40:33 PM",bf16bb7c-f0b2-408c-abf1-c2a6e960c0bd
Lốc 6 gói bánh trứng Karo chà bông 26g,Gói 6,29900.0,38800.0,https://winmart.vn/products/karo-banh-trung-cha-bong-26g--s10140247?storeGroupCode=1998&storeCode=1535,"12/31/2025, 2:40:33 PM",bf16bb7c-f0b2-408c-abf1-c2a6e960c0bd
Bánh trứng tươi sợi thịt gà Fasty túi 6gói x 26g,Gói 6,31900.0,41500.0,https://winmart.vn/products/fasty-banh-trung-soi-thit-ga-156g--s10281159?storeGroupCode=1998&storeCode=1535,"12/31/2025, 2:40:33 PM",bf16bb7c-f0b2-408c-abf1-c2a6e960c0bd
Bịch 6 gói Karo Bánh trứng chà bông phô mai 26g,Gói,29900.0,38800.0,https://winmart.vn/products/karo-banh-trung-cha-bong-phomai-26g--s10281742?storeGroupCode=1998&storeCode=1535,"12/31/2025, 2:40:33 PM",bf16bb7c-f0b2-408c-abf1-c2a6e960c0bd
Bánh mì hoa cúc OTTO gói 300g,Gói,35900.0,45900.0,https://winmart.vn/products/otto-banh-mi-hoa-cuc-290g--s10182336?storeGroupCode=1998&storeCode=1535,"12/31/2025, 2:40:33 PM",bf16bb7c-f0b2-408c-abf1-c2a6e960c0bd
Sanwhich khoai tây gạo lứt Momiji 300g,Gói,21900.0,27000.0,https://winmart.vn/products/momiji-sanwhich-khoai-tay-gao-lut-300g--s10183560?storeGroupCode=1998&storeCode=1535,"12/31/2025, 2:40:33 PM",bf16bb7c-f0b2-408c-abf1-c2a6e960c0bd
Trà sữa thái Saionmilk chai 300ml,Chai,13800.0,16800.0,https://winmart.vn/products/sgm-tra-sua-thai-300ml--s10182614?storeGroupCode=1998&storeCode=1535,"12/31/2025, 2:40:33 PM",bf16bb7c-f0b2-408c-abf1-c2a6e960c0bd
