product_name,unit,final_price,marked_price,product_url,deal,gift_price,scrape_timestamp,run_id
Su hào xanh WinEco,1KG,14000.0,17500.0,https://winmart.vn/products/wineco-su-hao-xanh-l1--s10054623?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Súp lơ trắng WinEco,1KG,34320.0,42900.0,https://winmart.vn/products/wineco-sup-lo-bong-cai-trang-l1--s10054669?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Bắp cải tím WinEco,1KG,43920.0,54900.0,https://winmart.vn/products/wineco-bap-cai-tim-l1--s10054670?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Cần tây lớn WinEco,1KG,38320.0,47900.0,https://winmart.vn/products/wineco-can-tay-lon-l1--s10054767?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Chôm chôm,1KG,59900.0,75000.0,https://winmart.vn/products/chom-chom--s10054822?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Dưa lưới sạch Đế Vương King size ruột cam,Qủa,79200.0,99000.0,https://winmart.vn/products/dua-luoi-sach-de-vuong-king-size-r.cam--s10242407?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Dưa lưới sạch Đế Vương Super King Ruột cam,Qủa,95200.0,119000.0,https://winmart.vn/products/dua-luoi-sach-de-vuong-super-king-r.cam--s10242502?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Cải bó xôi WinEco gói 300g,Gói,8000.0,10000.0,https://winmart.vn/products/wineco-cai-bo-xoi-300gr--s10281825?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Cải cúc WinEco gói 300g,Gói,8000.0,10000.0,https://winmart.vn/products/wineco-cai-cuc-l1-300gr--s10281828?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Giá đỗ WinEco 300g,Gói,10000.0,12500.0,https://winmart.vn/products/wineco-gia-do-l1-300gr--s10281835?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Rau mầm cải ngọt WinEco 100g,Hộp,14800.0,18500.0,https://winmart.vn/products/wineco-rau-mam-cai-ngot-l1-100gr--s10281839?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Rau mầm cải xanh WinEco 100g,Hộp,14800.0,18500.0,https://winmart.vn/products/wineco-rau-mam-cai-xanh-l1-100gr--s10281840?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Hẹ lá WinEco 100g,Gói,6400.0,8000.0,https://winmart.vn/products/wineco-he-la-l1-100gr--s10281880?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Hành lá WinEco gói 100g,Gói,4800.0,6000.0,https://winmart.vn/products/wineco-hanh-la-l1-100gr--s10281879?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Xà lách lolo xanh WinEco 300g,Gói,10320.0,12900.0,https://winmart.vn/products/wineco-xa-lach-lolo-xanh-l1-300g--s10281893?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Dưa lưới ruột cam WinEco,1.2KG,53664.0,67080.0,https://winmart.vn/products/wineco-dua-luoi-ruot-cam-kg--s10281949?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Xà lách mỡ WinEco 300g,Gói,19600.0,24500.0,https://winmart.vn/products/wineco-xa-lach-mo-l1-300g--s10283379?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Dưa lê kim hoàng hậu WinEco,1.2KG,66144.0,82680.0,https://winmart.vn/products/wineco-dua-le-kim-hoang-hau-l1--s10307117?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Táo Envy xuất xứ Mỹ (3Trái/Hộp),Hộp,195000.0,229000.0,https://winmart.vn/products/tao-envy-xuat-xu-my-3traihop--s10235283?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Kiwi vàng Pháp 2 trái/hộp,Hộp,84000.0,99000.0,https://winmart.vn/products/kiwi-vang-phap-2-traihop--s10618509?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Chà là nguyên cành Devie hộp 500g,Hộp,159000.0,185000.0,https://winmart.vn/products/devie-cha-la-nguyen-canh-hop-500g--s10240240?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Táo Candine Pháp,1KG,79000.0,89900.0,https://winmart.vn/products/wmnk-tao-candine-phap--s10055090?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Lê Hàn Quốc,1 KG,115000.0,129000.0,https://winmart.vn/products/wmnk-le-han-quoc--s10055012?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Táo Fuji Mỹ,1KG,89000.0,99900.0,https://winmart.vn/products/wmnk-tao-fuji-my--s10241411?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Táo xanh,1KG,58900.0,65000.0,https://winmart.vn/products/tao-xanh--s10054817?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Cải thảo,1KG,17900.0,,https://winmart.vn/products/cai-thao--s10053860?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Súp lơ (Bông cải) xanh,1KG,32900.0,,https://winmart.vn/products/sup-lo-bong-cai-xanh--s10053922?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Củ cải trắng,1KG,17000.0,,https://winmart.vn/products/cu-cai-trang--s10053938?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Khoai môn,1KG,29900.0,,https://winmart.vn/products/khoai-mon--s10053945?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Su su,1KG,14900.0,,https://winmart.vn/products/su-su--s10053949?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Bí đỏ tròn,1kg,22900.0,,https://winmart.vn/products/bi-do-tron--s10053953?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Bí xanh,1KG,34900.0,,https://winmart.vn/products/bi-xanh--s10053954?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Khoai lang giống nhật,1KG,39900.0,,https://winmart.vn/products/khoai-lang-giong-nhat-xa--s10053980?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Cam lòng vàng,1KG,29900.0,,https://winmart.vn/products/cam-long-vang--s10053983?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Quả bầu,1KG,19900.0,,https://winmart.vn/products/qua-bau--s10053988?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Nấm kim châm 150g,Gói,14900.0,,https://winmart.vn/products/nam-kim-cham-150g--s10053991?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Búp măng tươi Kim Bôi gói 500g,Gói,34900.0,,https://winmart.vn/products/kim-boi-bup-mang-tuoi-500g--s10053998?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Măng củ thái sẵn Kim Bôi gói 500g,Gói,34900.0,,https://winmart.vn/products/kim-boi-mang-cu-thai-san-500g--s10053999?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Măng chua thái sẵn Kim Bôi gói 300g,Gói,32500.0,,https://winmart.vn/products/kim-boi-mang-chua-thai-san-300g--s10054000?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Măng nứa tươi Kim Bôi túi 500g,Gói,33500.0,,https://winmart.vn/products/kim-boi-mang-nua-tuoi-500g--s10054001?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Măng lưỡi lợn khô nấu ngay Kim Bôi 500g,Gói,55000.0,,https://winmart.vn/products/kim-boi-mang-luoi-lon-kho-nau-ngay-500g--s10054002?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Măng nứa khô nấu ngay Kim Bôi gói 500g,Gói,69900.0,,https://winmart.vn/products/kim-boi-mang-nua-kho-nau-ngay-500g--s10054004?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Măng ống khô nấu ngay Kim Bôi gói 500g,Gói,53900.0,,https://winmart.vn/products/kim-boi-mang-ong-kho-nau-ngay-500g--s10054003?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
Măng lay Tây Bắc Kim Bôi gói 300g,Gói,39900.0,,https://winmart.vn/products/kim-boi-mang-lay-tay-bac-300g--s10054005?storeGroupCode=1998&storeCode=1535,,0.0,"1/21/2026, 1:10:29 PM",50d919d0-4d55-4698-97e0-8ea3741ab0fa
