product_name,unit,final_price,marked_price,product_url,scrape_timestamp,run_id
Thanh long ruột trắng,1KG,32900.0,48900.0,https://winmart.vn/products/thanh-long-ruot-trang--s10055020?storeGroupCode=1998&storeCode=1535,"3/22/2026, 2:37:20 PM",31902f76-0051-4ab9-aa72-788de329a2a8
Xoài dài giống Đài Loan,1KG,34900.0,49000.0,https://winmart.vn/products/xoai-dai-giong-dai-loan--s10054792?storeGroupCode=1998&storeCode=1535,"3/22/2026, 2:37:20 PM",31902f76-0051-4ab9-aa72-788de329a2a8
Dừa xiêm (Dừa tiện lợi),Qủa,21000.0,26900.0,https://winmart.vn/products/dua-xiem-dua-tien-loi--s10314437?storeGroupCode=1998&storeCode=1535,"3/22/2026, 2:37:20 PM",31902f76-0051-4ab9-aa72-788de329a2a8
Cần tây lớn WinEco,1KG,38320.0,47900.0,https://winmart.vn/products/wineco-can-tay-lon-l1--s10054767?storeGroupCode=1998&storeCode=1535,"3/22/2026, 2:37:20 PM",31902f76-0051-4ab9-aa72-788de329a2a8
Dưa lưới sạch Đế Vương King size ruột cam,Qủa,79200.0,99000.0,https://winmart.vn/products/dua-luoi-sach-de-vuong-king-size-r.cam--s10242407?storeGroupCode=1998&storeCode=1535,"3/22/2026, 2:37:20 PM",31902f76-0051-4ab9-aa72-788de329a2a8
Cải bó xôi WinEco gói 300g,Gói,9600.0,12000.0,https://winmart.vn/products/wineco-cai-bo-xoi-300gr--s10281825?storeGroupCode=1998&storeCode=1535,"3/22/2026, 2:37:20 PM",31902f76-0051-4ab9-aa72-788de329a2a8
Cải cúc WinEco gói 300g,Gói,8000.0,10000.0,https://winmart.vn/products/wineco-cai-cuc-l1-300gr--s10281828?storeGroupCode=1998&storeCode=1535,"3/22/2026, 2:37:20 PM",31902f76-0051-4ab9-aa72-788de329a2a8
Giá đỗ WinEco 300g,Gói,10000.0,12500.0,https://winmart.vn/products/wineco-gia-do-l1-300gr--s10281835?storeGroupCode=1998&storeCode=1535,"3/22/2026, 2:37:20 PM",31902f76-0051-4ab9-aa72-788de329a2a8
Rau mầm cải xanh WinEco 100g,Hộp,14800.0,18500.0,https://winmart.vn/products/wineco-rau-mam-cai-xanh-l1-100gr--s10281840?storeGroupCode=1998&storeCode=1535,"3/22/2026, 2:37:20 PM",31902f76-0051-4ab9-aa72-788de329a2a8
Rau mầm cải ngọt WinEco 100g,Hộp,14800.0,18500.0,https://winmart.vn/products/wineco-rau-mam-cai-ngot-l1-100gr--s10281839?storeGroupCode=1998&storeCode=1535,"3/22/2026, 2:37:20 PM",31902f76-0051-4ab9-aa72-788de329a2a8
Cần tây nhỏ WinEco 100g,Gói,5520.0,6900.0,https://winmart.vn/products/wineco-can-tay-nho-l1-100gr--s10281873?storeGroupCode=1998&storeCode=1535,"3/22/2026, 2:37:20 PM",31902f76-0051-4ab9-aa72-788de329a2a8
Hẹ lá WinEco 100g,Gói,5520.0,6900.0,https://winmart.vn/products/wineco-he-la-l1-100gr--s10281880?storeGroupCode=1998&storeCode=1535,"3/22/2026, 2:37:20 PM",31902f76-0051-4ab9-aa72-788de329a2a8
Hành lá WinEco gói 100g,Gói,4000.0,5000.0,https://winmart.vn/products/wineco-hanh-la-l1-100gr--s10281879?storeGroupCode=1998&storeCode=1535,"3/22/2026, 2:37:20 PM",31902f76-0051-4ab9-aa72-788de329a2a8
Xà lách lolo xanh WinEco 300g,Gói,11600.0,14500.0,https://winmart.vn/products/wineco-xa-lach-lolo-xanh-l1-300g--s10281893?storeGroupCode=1998&storeCode=1535,"3/22/2026, 2:37:20 PM",31902f76-0051-4ab9-aa72-788de329a2a8
Xà lách mỡ WinEco 300g,Gói,19600.0,24500.0,https://winmart.vn/products/wineco-xa-lach-mo-l1-300g--s10283379?storeGroupCode=1998&storeCode=1535,"3/22/2026, 2:37:20 PM",31902f76-0051-4ab9-aa72-788de329a2a8
Xà lách iceberg WinEco 300g,Gói,17520.0,21900.0,https://winmart.vn/products/wineco-xa-lach-iceberg-300gr--s10283381?storeGroupCode=1998&storeCode=1535,"3/22/2026, 2:37:20 PM",31902f76-0051-4ab9-aa72-788de329a2a8
