category,n_days,mean_gap_pct_final,std_gap_pct_final,mean_gap_pct_marked,mean_gap_abs_final,tet_mean_gap_pct,non_tet_mean_gap_pct,gap_trend_slope_per_day,gap_trend_p,tet_delta_pct
Trứng - Đậu Hũ,85,180.79,59.506,180.79,30963.529,189.772,179.018,0.142,0.571,10.754
Rau - Củ - Trái Cây,87,34.667,61.795,32.245,9729.598,28.803,35.888,0.172,0.507,-7.085
Bánh Kẹo,44,30.168,42.024,30.951,12225.0,56.532,27.531,-0.98,0.048,29.0
Thực Phẩm Chế Biến,84,18.197,56.81,13.891,-2842.262,1.968,21.725,0.375,0.116,-19.757
Chăm Sóc Bé,88,17.137,36.368,-32.139,-10292.045,47.162,11.457,-0.344,0.021,35.706
Mì - Thực Phẩm Ăn Liền,70,11.762,57.155,12.901,-134.286,-28.309,17.674,1.366,0.0,-45.983
Thực Phẩm Đông Lạnh,88,-6.227,15.459,-6.454,-6925.568,-3.735,-6.699,-0.187,0.003,2.964
Sữa Tươi,85,-7.589,46.304,-7.428,-8370.0,-29.731,-2.844,-0.179,0.355,-26.887
Thực Phẩm Khô,87,-9.383,16.397,-8.002,-6812.644,-15.196,-8.268,-0.154,0.023,-6.928
Gia Vị,64,-50.114,12.348,-48.044,-49017.969,-47.141,-50.366,0.125,0.021,3.224
