date,Sữa tươi,Sữa Hạt - Sữa Đậu,Bơ Sữa - Phô Mai,Sữa Chua - Váng Sữa,Sữa Đặc,Sữa Bột,Trái cây tươi,"Củ, Quả",Rau Lá,Rong Biển - Tảo Biển,Bột Các Loại,Thực Phẩm Đóng Hộp,Thực Phẩm Chay,Mì,Thực Phẩm Chế Biến Khác,Bánh mì,Xúc xích - Thịt Nguội,Kim chi,Bánh bao,Thực Phẩm Đông Lạnh Khác,Cá - Bò Viên,Chả Giò,Hải Sản Đông Lạnh,Thịt Đông Lạnh,Trứng,Đậu hũ,Sữa Bột - Sữa Dinh Dưỡng,Cháo,Miến - Hủ Tíu - Bánh Canh,Phở - Bún,Bánh Xốp - Bánh Quy,Kẹo - Chocolate,Bánh Snack,Hạt - Trái Cây Sấy Khô,other_food_average
2025-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18,1.0032032437791896,1.0,1.0053607169055239,1.0,1.0,1.0,0.9393967196382281,0.9491591702089283,0.8210941770972284,1.0,1.0,1.0,,1.0,1.0063184544584582,1.0,1.0062841320906803,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,,,,,,0.9877643915535562
2026-01-19,,,,,,,,,,1.0,0.9975160960677846,1.0137078252585296,1.0,1.0,,,,,,1.0,1.0,1.0,1.0112749750670798,1.0,0.9844879070518214,0.9665681526678523,1.0,,,,,,,,0.9979657658548514
