,marked_price_cluster
Sữa tươi,1
Sữa Hạt - Sữa Đậu,1
Bơ Sữa - Phô Mai,1
Sữa Chua - Váng Sữa,1
Sữa Đặc,1
Sữa Bột,1
Trái cây tươi,1
"Củ, Quả",2
Rau Lá,2
Rong Biển - Tảo Biển,1
Bột Các Loại,1
Thực Phẩm Đóng Hộp,1
Thực Phẩm Chay,0
Mì,1
Thực Phẩm Chế Biến Khác,1
Bánh mì,1
Xúc xích - Thịt Nguội,1
Kim chi,1
Bánh bao,0
Thực Phẩm Đông Lạnh Khác,1
Cá - Bò Viên,1
Chả Giò,1
Hải Sản Đông Lạnh,1
Thịt Đông Lạnh,1
Trứng,1
Đậu hũ,1
Sữa Bột - Sữa Dinh Dưỡng,1
Cháo,1
Miến - Hủ Tíu - Bánh Canh,1
Phở - Bún,1
Bánh Xốp - Bánh Quy,1
Kẹo - Chocolate,1
Bánh Snack,1
Hạt - Trái Cây Sấy Khô,1
