product_name,unit,subcategory,parent_category,avg_final_price,avg_marked_price,days_observed,promo_rate,avg_discount_depth,price_volatility,n_price_changes,max_daily_jump_pct,ever_promoted,always_promoted,marked_price_changes,promo_streak_max,promo_streak_avg,marked_price_increased,brand_name,brand_quadrant,is_premium,is_high_recognition,is_branded,is_house_brand,import_origin,is_import,has_health_claim,has_freshness_claim,name_length,unit_type,pack_count,uncertain_pack_count,size_ml,size_g,ln_pack_size,price_per_100ml,price_per_100g,ln_price_per_unit,marked_price_per_100ml,marked_price_per_100g,ln_marked_price_per_unit
Bơ lạt Anchor gói 227g,Miếng,Bơ Sữa - Phô Mai,Sữa Tươi,124981.81818181818,137500.0,66,0.5454545454545454,0.1669090909090909,0.0971032190825385,3,0.256855575868373,1,0,1,18,18.0,0,Anchor,niche_professional,1,0,1,0,Úc,1,0,0,5,count,1,False,,227.0,5.424950017481403,,55058.06968362034,10.916143719666135,,60572.6872246696,11.011599364595451
Bơ lạt Paysan Breton hộp 250g,Hộp,Bơ Sữa - Phô Mai,Sữa Tươi,174000.0,174000.0,47,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,Paysan Breton,niche_professional,1,0,1,0,domestic,0,0,0,6,count,1,False,,250.0,5.521460917862246,,69600.0,11.150519846322512,,69600.0,11.150519846322512
Bơ lạt Presiden hộp 250g,Hộp,Bơ Sữa - Phô Mai,Sữa Tươi,181000.0,181000.0,52,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,Président,niche_professional,1,0,1,0,domestic,0,0,0,5,count,1,False,,250.0,5.521460917862246,,72400.0,11.189961578373808,,72400.0,11.189961578373808
Bơ lạt Westgold 250g,Gói,Bơ Sữa - Phô Mai,Sữa Tươi,120792.45283018867,123000.0,53,0.0943396226415094,0.1902439024390244,0.0571665615963988,2,0.1902439024390243,1,0,1,5,5.0,0,Westgold,niche_professional,1,0,1,0,domestic,0,0,0,4,count,1,False,,250.0,5.521460917862246,,48316.98113207547,10.785538354085668,,49200.0,10.803648902480399
Bơ lạt tự nhiên TH TRUE BUTTER 10g*10gói,Gói,Bơ Sữa - Phô Mai,Sữa Tươi,37593.75,39000.0,48,0.3125,0.1153846153846153,0.0560699174326823,2,0.1304347826086955,1,0,1,15,15.0,0,,,0,0,0,0,domestic,0,0,1,8,count,10,False,,10.0,2.302585092994046,,37593.75,10.53459309215709,,39000.0,10.571316925111784
Bơ lạt tự nhiên TH True milk 200g,Gói,Bơ Sữa - Phô Mai,Sữa Tươi,73077.58620689655,77000.0,58,0.4310344827586206,0.1181818181818181,0.0622060676095219,2,0.134020618556701,1,0,1,13,12.5,0,TH True Milk,prestige_leader,1,1,1,0,domestic,0,0,1,8,count,1,False,,200.0,5.298317366548036,,36538.793103448275,10.506129799924233,,38500.0,10.558413520275876
Bơ mặn Paysan Breton hộp 250g,Hộp,Bơ Sữa - Phô Mai,Sữa Tươi,174000.0,174000.0,51,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,Paysan Breton,niche_professional,1,0,1,0,domestic,0,0,0,6,count,1,False,,250.0,5.521460917862246,,69600.0,11.150519846322512,,69600.0,11.150519846322512
Bơ mặn President gói 125g,Miếng,Bơ Sữa - Phô Mai,Sữa Tươi,84500.0,84500.0,52,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,Président,niche_professional,1,0,1,0,domestic,0,0,0,5,count,1,False,,125.0,4.8283137373023015,,67600.0,11.121363262031055,,67600.0,11.121363262031055
Bơ mặn Président gói 200g,Miếng,Bơ Sữa - Phô Mai,Sữa Tươi,135000.0,135000.0,51,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,Président,niche_professional,1,0,1,0,domestic,0,0,0,5,count,1,False,,200.0,5.298317366548036,,67500.0,11.119882876860622,,67500.0,11.119882876860622
Bơ mặn Westgold 250g,Gói,Bơ Sữa - Phô Mai,Sữa Tươi,120792.45283018867,123000.0,53,0.0943396226415094,0.1902439024390244,0.0571665615963988,2,0.1902439024390243,1,0,1,5,5.0,0,Westgold,niche_professional,1,0,1,0,domestic,0,0,0,4,count,1,False,,250.0,5.521460917862246,,48316.98113207547,10.785538354085668,,49200.0,10.803648902480399
Bơ nhạt President gói 125g,Miếng,Bơ Sữa - Phô Mai,Sữa Tươi,83782.5,84500.0,40,0.175,0.0485207100591716,0.0188310368089356,2,0.0509950248756219,1,0,1,7,7.0,0,Président,niche_professional,1,0,1,0,domestic,0,0,0,5,count,1,False,,125.0,4.8283137373023015,,67026.0,11.112835882798903,,67600.0,11.121363262031055
Bơ nhạt President vỉ 10 viên x 10g,Hộp,Bơ Sữa - Phô Mai,Sữa Tươi,71572.72727272728,74900.0,55,0.5454545454545454,0.0814419225634179,0.0428286786510181,2,0.0886627906976744,1,0,1,30,30.0,0,Président,niche_professional,1,0,1,0,domestic,0,0,0,8,count,10,False,,10.0,2.302585092994046,,71572.72727272728,11.178469376374188,,74900.0,11.22390916950531
Bơ nhạt Président gói 200g,Miếng,Bơ Sữa - Phô Mai,Sữa Tươi,131891.30434782608,135000.0,46,0.4782608695652174,0.0481481481481481,0.0248902341357172,2,0.0505836575875486,1,0,1,22,22.0,0,Président,niche_professional,1,0,1,0,domestic,0,0,0,5,count,1,False,,200.0,5.298317366548036,,65945.65217391304,11.096586229875394,,67500.0,11.119882876860622
Bơ nhạt Président vỉ 10 hộpx10g,Hộp,Bơ Sữa - Phô Mai,Sữa Tươi,77900.0,77900.0,52,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,Président,niche_professional,1,0,1,0,domestic,0,0,0,6,count,10,False,,10.0,2.302585092994046,,77900.0,11.26318123185884,,77900.0,11.26318123185884
"Creamer đặc có đường Ngôi Sao Phương Nam Vinamilk hộp 1,284kg",Hộp,Sữa Đặc,Sữa Tươi,59200.0,59200.0,36,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,Vinamilk,household_giant,0,1,1,0,domestic,0,0,0,11,count,1,False,,1284.0,7.157735484249907,,4610.591900311527,8.436111522610283,,4610.591900311527,8.436111522610283
Creamer đặc sữa pha chế Nutimilk hộp 1284g,Hộp,Sữa Đặc,Sữa Tươi,72300.0,72300.0,49,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,Nutimilk,local_value,0,0,1,0,domestic,0,0,0,8,count,1,False,,1284.0,7.157735484249907,,5630.841121495328,8.636014109885041,,5630.841121495328,8.636014109885041
