parent_category,n_products,avg_final_price,avg_marked_price,promo_rate,avg_discount_pct,pct_branded,pct_import,pct_health
Bánh Kẹo,583,63326.728,67482.354,17.6,19.1,56.3,2.9,3.6
Chăm Sóc Bé,58,141977.537,147681.034,29.4,16.3,93.1,0.0,19.0
Gia Vị,300,67891.294,72636.059,36.1,15.6,92.7,0.7,3.7
Mì - Thực Phẩm Ăn Liền,228,65651.156,67125.506,28.8,14.2,83.8,7.0,0.0
Rau - Củ - Trái Cây,254,68054.603,69595.109,13.4,18.4,7.5,13.4,0.4
Sữa Tươi,346,80083.03,82139.085,32.3,12.6,89.0,3.5,19.7
Thực Phẩm Chế Biến,173,55017.923,56232.136,15.2,16.4,83.8,4.6,1.7
Thực Phẩm Khô,182,65059.835,67587.426,26.9,15.1,75.3,0.5,2.2
Thực Phẩm Đông Lạnh,137,90695.58,92015.616,9.3,16.1,73.0,5.8,0.0
Trứng - Đậu Hũ,24,38307.609,38307.609,0.0,,87.5,0.0,12.5
