,β (marked),SE (marked),β (final),SE (final)
is_branded,0.0168,0.0781,0.0058,0.0793
is_premium,0.4287***,0.0595,0.4366***,0.0613
is_high_recognition,-0.2508***,0.0633,-0.2616***,0.0668
is_import,0.1397,0.2128,0.1108,0.2172
is_house_brand,-0.051,0.0619,-0.2709***,0.0602
ln_pack_size,-0.3851***,0.0439,-0.3959***,0.0449
pack_count,-0.0237***,0.0062,-0.0226***,0.006
has_health_claim,-0.0323,0.1308,-0.0272,0.1386
has_freshness_claim,-0.0449,0.0726,-0.0511,0.0728
name_length,0.0061,0.0145,0.0071,0.0147
Adj R²,0.638,,0.642,
