category,price_type,n_branded,n_generic,median_branded,median_generic,mean_branded,mean_generic,price_gap_pct,mann_whitney_U,mann_whitney_p
Bánh Kẹo,final,320,230,10.4799,10.2999,10.4986,10.3492,19.7,40615,0.038
Gia Vị,final,273,21,9.3748,9.1313,9.3403,9.5619,27.6,2572,0.4335
Mì - Thực Phẩm Ăn Liền,final,188,35,9.4053,9.3868,9.4395,9.514,1.9,3203,0.8062
Rau - Củ - Trái Cây,final,16,108,9.414,9.1031,9.5515,9.1985,36.5,1156,0.0298
Sữa Tươi,final,293,37,8.774,9.0581,9.1799,9.6217,-24.7,3526,0.0005
Thực Phẩm Chế Biến,final,140,27,9.9336,9.3177,10.0063,9.5698,85.1,2590,0.0024
Thực Phẩm Khô,final,127,43,10.3049,10.3083,10.3297,10.263,-0.3,2788,0.8381
Thực Phẩm Đông Lạnh,final,99,32,9.9363,10.1052,10.0383,10.1701,-15.5,1381,0.278
Trứng - Đậu Hũ,final,6,2,8.4724,8.2668,8.5229,8.2668,22.8,9,0.4286
Bánh Kẹo,marked,320,230,10.4864,10.3193,10.54,10.3777,18.2,41000,0.0223
Gia Vị,marked,273,21,9.4392,9.1313,9.415,9.5893,36.1,2651,0.5677
Mì - Thực Phẩm Ăn Liền,marked,188,35,9.4339,9.4239,9.4882,9.5566,1.0,3213,0.8272
Rau - Củ - Trái Cây,marked,16,108,9.414,9.1031,9.5562,9.2268,36.5,1141,0.0393
Sữa Tươi,marked,293,37,8.812,9.0581,9.2241,9.6519,-21.8,3573,0.0007
Thực Phẩm Chế Biến,marked,140,27,9.9672,9.3177,10.0341,9.6009,91.4,2594,0.0022
Thực Phẩm Khô,marked,127,43,10.3219,10.3083,10.3762,10.2944,1.4,2802,0.7991
Thực Phẩm Đông Lạnh,marked,99,32,9.9591,10.1524,10.0543,10.1908,-17.6,1373,0.2595
Trứng - Đậu Hũ,marked,6,2,8.4724,8.2668,8.5229,8.2668,22.8,9,0.4286
