brand_name,n_products,n_categories,categories,avg_price,median_price,price_p10,price_p90,avg_promo_rate,avg_discount_depth,avg_price_volatility,price_range_p90_p10,brand_quadrant
Vinamilk,50,2,"Chăm Sóc Bé, Sữa Tươi",27038.491614732975,27487.23404255319,7779.310344827586,39857.461538461546,0.5598181260164389,0.09514137870014627,0.03678972539047268,32078.15119363396,household_giant
Miwon,39,3,"Gia Vị, Mì - Thực Phẩm Ăn Liền, Thực Phẩm Khô",34332.018619521245,30446.153846153848,12633.806146572104,63100.0,0.4206557463745699,0.14689910240216456,0.05549249506552055,50466.193853427896,household_giant
Meizan,35,3,"Gia Vị, Mì - Thực Phẩm Ăn Liền, Thực Phẩm Khô",57583.359804024,26435.29411764706,9468.888888888889,172160.00000000017,0.8309885381831406,0.19117978692077142,0.04052579453257946,162691.1111111113,household_giant
Vifon,33,2,"Gia Vị, Mì - Thực Phẩm Ăn Liền",68956.34986566294,13400.0,6840.869565217392,250953.84615384616,0.2967686146028793,0.16048707727042705,0.03202449817369508,244112.97658862878,household_giant
Fami,25,2,"Bánh Kẹo, Sữa Tươi",57418.032546466304,29766.666666666668,4042.232258064516,178080.0,0.3907744985945325,0.14954730893474164,0.03778165377318796,174037.76774193547,household_giant
TH True Milk,22,1,Sữa Tươi,112414.03508771931,38900.0,11160.000000000002,465610.0,0.01993620414673046,0.11818181818181818,0.0028363330160748016,454450.0,prestige_leader
Orion,21,1,Bánh Kẹo,46492.39292852728,31343.478260869564,14100.0,100578.94736842105,0.2842597288658093,0.1790794326097812,0.044717101706369555,86478.94736842105,household_giant
Vissan,20,3,"Thực Phẩm Chế Biến, Thực Phẩm Khô, Thực Phẩm Đông Lạnh",58569.34262661899,36606.493506493505,10720.0,140846.0563380282,0.14495114815083945,0.068764442255452,0.013260659985283215,130126.0563380282,household_giant
Ottogi,19,3,"Gia Vị, Mì - Thực Phẩm Ăn Liền, Thực Phẩm Khô",32448.200611304546,27211.764705882353,9220.0,59561.81818181817,0.3068008473712423,0.18078393587745437,0.047488280810590124,50341.81818181817,niche_professional
Ajinomoto,19,2,"Gia Vị, Thực Phẩm Khô",50534.409016352125,35549.15254237288,14258.90410958904,129760.0,0.3216124496157124,0.0981519210947769,0.03552093643791211,115501.09589041096,household_giant
Barona,19,1,Gia Vị,23122.49451943988,12837.037037037036,11698.463343108506,37423.63636363637,0.5561080739354328,0.11582803837919405,0.03858839006496601,25725.17302052786,local_value
Oishi,18,1,Bánh Kẹo,7883.333333333333,5400.0,5370.0,11090.0,0.0,,0.0,5720.0,household_giant
Đức Việt,18,1,Thực Phẩm Chế Biến,65027.052270847475,60318.62132072594,19252.4882629108,106660.50304878049,0.2746615699638358,0.12731713851528667,0.062041653542737545,87408.01478586969,household_giant
Tường An,18,2,"Gia Vị, Thực Phẩm Khô",118068.80320127826,88521.18539786711,41223.23734236778,282330.27667984186,0.42419212864933786,0.11801217264997713,0.052243805740577416,241107.0393374741,household_giant
Playmore,18,1,Bánh Kẹo,36333.333333333336,34000.0,24370.000000000004,61930.0,0.0,,0.0,37560.0,local_value
Oreo,16,1,Bánh Kẹo,23931.26543972332,15609.375,8250.0,49000.0,0.2034106348814229,0.2582857431913589,0.06201570797740835,40750.0,household_giant
Dutch Lady,16,1,Sữa Tươi,91424.69677172035,32416.347687400317,6573.99660825325,372050.0,0.3976843524656223,0.1271773269311444,0.04755118643780301,365476.0033917467,household_giant
Chin-Su,16,3,"Gia Vị, Mì - Thực Phẩm Ăn Liền, Thực Phẩm Khô",38962.48478835979,29100.0,17842.59259259259,79220.0,0.1399697656840514,0.12600352535327525,0.021355780302303617,61377.40740740741,household_giant
SG Food,15,3,"Gia Vị, Mì - Thực Phẩm Ăn Liền, Thực Phẩm Đông Lạnh",37520.0,32400.0,23140.0,70239.99999999999,0.0,,0.0,47099.999999999985,local_value
Dalat Milk,15,1,Sữa Tươi,26608.929804211533,25785.483870967742,10575.862068965518,41556.078431372545,0.18597604156161737,0.0820681911195303,0.02736037339145047,30980.216362407027,prestige_leader
Hoa Doanh,15,3,"Thực Phẩm Chế Biến, Thực Phẩm Khô, Thực Phẩm Đông Lạnh",46230.93370027016,47957.44680851064,30096.949152542373,60000.0,0.08148240448096201,0.1817689283986454,0.02644658946713749,29903.050847457627,local_value
Cung Đình,15,1,Mì - Thực Phẩm Ăn Liền,116742.22222222222,15600.0,8600.0,241000.0,0.02222222222222222,0.16666666666666666,0.005651581899003074,232400.0,prestige_leader
