,β_marked,β_final,SE_marked,SE_final,erosion,pct_erosion
Branded (Local & Value),0.016753826188669635,0.005764023367832979,0.078098706527759,0.0793082971880894,0.010989802820836655,65.6
Premium tier (+),0.428655402292711,0.436604144297993,0.05945884346327754,0.06131357489172052,-0.007948742005282006,-1.9
High recognition (+),-0.2508113532533981,-0.26159544310726557,0.06325830714268826,0.06680969086256842,0.010784089853867473,4.3
Imported,0.1396815934730482,0.11083983710690737,0.212800974644914,0.2171883531288977,0.028841756366140836,20.6
House brand (WinEco),-0.05096233733060207,-0.27093605490958717,0.061915663925615406,0.06016077236744618,0.2199737175789851,431.6
Pack size (log),-0.3850751257538837,-0.395881587735308,0.043923998236128234,0.04492697030737938,0.01080646198142432,2.8
Pack count,-0.023740474654303144,-0.022610041061496552,0.006219998358449206,0.006034610069939405,-0.0011304335928065921,-4.8
Health claim,-0.03225255420990947,-0.027231900414945942,0.13081247960632406,0.13863660333911865,-0.0050206537949635255,-15.6
Freshness claim,-0.044863535127003515,-0.0510770256185772,0.07256710886491628,0.07281703676817498,0.006213490491573687,13.8
Name length,0.006083434230239312,0.007092720744516466,0.014543421676052423,0.014654560957197093,-0.0010092865142771537,-16.6
