variable,beta_final,se_final,ci_lo_final,ci_hi_final,pval_final,pct_premium_final,beta_marked,se_marked,ci_lo_marked,ci_hi_marked,pval_marked,pct_premium_marked
Branded (baseline),0.0052,0.0783,-0.1483,0.1587,0.9471,0.5,0.0167,0.0781,-0.1364,0.1698,0.8307,1.7
Premium tier,0.4379,0.0617,0.3169,0.5589,0.0,54.9,0.4315,0.0597,0.3146,0.5484,0.0,54.0
High recognition,-0.2766,0.0634,-0.4008,-0.1524,0.0,-24.2,-0.2665,0.0602,-0.3845,-0.1485,0.0,-23.4
Imported origin,0.0968,0.2144,-0.3233,0.517,0.6515,10.2,0.1235,0.2107,-0.2894,0.5364,0.5578,13.1
House brand (WinEco),-0.2273,0.0509,-0.3271,-0.1275,0.0,-20.3,-0.0085,0.052,-0.1103,0.0934,0.8706,-0.8
ln(pack size),-0.3858,0.0423,-0.4687,-0.3028,0.0,-32.0,-0.3742,0.0413,-0.455,-0.2933,0.0,-31.2
Pack count,-0.0207,0.0062,-0.0328,-0.0087,0.0008,-2.1,-0.0217,0.0063,-0.0341,-0.0094,0.0006,-2.1
Health claim,-0.0322,0.1311,-0.2893,0.2248,0.8058,-3.2,-0.0372,0.1237,-0.2796,0.2053,0.764,-3.6
Freshness claim,-0.0583,0.0723,-0.2,0.0834,0.4203,-5.7,-0.0513,0.0723,-0.1929,0.0903,0.4778,-5.0
Name length (tokens),0.0079,0.014,-0.0196,0.0355,0.5722,0.8,0.0069,0.0139,-0.0203,0.0342,0.6187,0.7
