category,n,attribute,coefficient,pct_effect,p_value,significance
Bánh Kẹo,550,Branded,0.119,12.6,0.0872,*
Bánh Kẹo,550,Premium tier,0.3737,45.3,0.0,***
Bánh Kẹo,550,High recognition,-0.4318,-35.1,0.0,***
Bánh Kẹo,550,Imported,-0.0645,-6.2,0.7012,
Bánh Kẹo,550,House brand,-0.0,-0.0,0.0,***
Bánh Kẹo,550,Health claim,0.0997,10.5,0.4916,
Bánh Kẹo,550,Freshness claim,0.0507,5.2,0.7216,
Chăm Sóc Bé,34,Branded,0.5203,68.3,0.2294,
Chăm Sóc Bé,34,Premium tier,0.1012,10.7,0.7161,
Chăm Sóc Bé,34,High recognition,-0.2242,-20.1,0.3527,
Chăm Sóc Bé,34,Imported,0.0,0.0,0.0,***
Chăm Sóc Bé,34,House brand,0.0,0.0,0.0,***
Chăm Sóc Bé,34,Health claim,-0.0277,-2.7,0.9004,
Chăm Sóc Bé,34,Freshness claim,-0.724,-51.5,0.0933,*
Gia Vị,294,Branded,-0.1971,-17.9,0.1843,
Gia Vị,294,Premium tier,0.7101,103.4,0.0,***
Gia Vị,294,High recognition,-0.3062,-26.4,0.0007,***
Gia Vị,294,Imported,0.0996,10.5,0.8012,
Gia Vị,294,House brand,-0.0,-0.0,0.0,***
Gia Vị,294,Health claim,0.3822,46.6,0.0295,**
Gia Vị,294,Freshness claim,-0.2669,-23.4,0.3377,
Mì - Thực Phẩm Ăn Liền,224,Branded,-0.1329,-12.4,0.254,
Mì - Thực Phẩm Ăn Liền,224,Premium tier,0.3122,36.6,0.0004,***
Mì - Thực Phẩm Ăn Liền,224,High recognition,0.0852,8.9,0.3344,
Mì - Thực Phẩm Ăn Liền,224,Imported,0.1022,10.8,0.479,
Mì - Thực Phẩm Ăn Liền,224,House brand,0.0,0.0,0.6156,
Mì - Thực Phẩm Ăn Liền,224,Health claim,0.0,0.0,,
Mì - Thực Phẩm Ăn Liền,224,Freshness claim,-0.281,-24.5,0.2008,
Rau - Củ - Trái Cây,124,Branded,-0.1111,-10.5,0.5813,
Rau - Củ - Trái Cây,124,Premium tier,-0.0,-0.0,0.0,***
Rau - Củ - Trái Cây,124,High recognition,-0.0,-0.0,0.0,***
Rau - Củ - Trái Cây,124,Imported,1.1623,219.7,0.0,***
Rau - Củ - Trái Cây,124,House brand,-0.3928,-32.5,0.0417,**
Rau - Củ - Trái Cây,124,Health claim,0.0,0.0,,
Rau - Củ - Trái Cây,124,Freshness claim,0.3904,47.8,0.0575,*
Sữa Tươi,330,Branded,-0.1846,-16.9,0.1097,
Sữa Tươi,330,Premium tier,0.4553,57.7,0.0,***
Sữa Tươi,330,High recognition,-0.175,-16.1,0.0364,**
Sữa Tươi,330,Imported,-0.2963,-25.6,0.1169,
Sữa Tươi,330,House brand,-0.0,0.0,0.8203,
Sữa Tươi,330,Health claim,-0.1409,-13.1,0.1254,
Sữa Tươi,330,Freshness claim,-0.0776,-7.5,0.4282,
Thực Phẩm Chế Biến,167,Branded,0.1657,18.0,0.219,
Thực Phẩm Chế Biến,167,Premium tier,0.5032,65.4,0.0036,***
Thực Phẩm Chế Biến,167,High recognition,-0.361,-30.3,0.0118,**
Thực Phẩm Chế Biến,167,Imported,-0.6135,-45.9,0.0126,**
Thực Phẩm Chế Biến,167,House brand,0.0,0.0,0.828,
Thực Phẩm Chế Biến,167,Health claim,0.0933,9.8,0.7767,
Thực Phẩm Chế Biến,167,Freshness claim,0.1925,21.2,0.4022,
Thực Phẩm Khô,170,Branded,0.0522,5.4,0.656,
Thực Phẩm Khô,170,Premium tier,0.1519,16.4,0.2993,
Thực Phẩm Khô,170,High recognition,-0.4457,-36.0,0.0001,***
Thực Phẩm Khô,170,Imported,0.6673,94.9,0.2007,
Thực Phẩm Khô,170,House brand,0.0,0.0,0.3628,
Thực Phẩm Khô,170,Health claim,0.1066,11.2,0.7058,
Thực Phẩm Khô,170,Freshness claim,-0.3662,-30.7,0.2213,
Thực Phẩm Đông Lạnh,131,Branded,-0.2111,-19.0,0.0197,**
Thực Phẩm Đông Lạnh,131,Premium tier,0.2948,34.3,0.0028,***
Thực Phẩm Đông Lạnh,131,High recognition,0.1275,13.6,0.2514,
Thực Phẩm Đông Lạnh,131,Imported,-0.1646,-15.2,0.2458,
Thực Phẩm Đông Lạnh,131,House brand,-0.0,-0.0,0.0867,*
Thực Phẩm Đông Lạnh,131,Health claim,0.0,0.0,,
Thực Phẩm Đông Lạnh,131,Freshness claim,0.3078,36.0,0.264,
(Pooled),2032,Branded,-0.0026,-0.3,0.973,
(Pooled),2032,Premium tier,0.4293,53.6,0.0,***
(Pooled),2032,High recognition,-0.279,-24.3,0.0,***
(Pooled),2032,Imported,-0.0229,-2.3,0.8547,
(Pooled),2032,House brand,-0.1917,-17.4,0.001,***
(Pooled),2032,Health claim,-0.0084,-0.8,0.9424,
(Pooled),2032,Freshness claim,-0.0252,-2.5,0.7109,
