category,n,promo_penetration_pct,brand_premium_marked,brand_premium_final,pct_effect_marked,pct_effect_final,avg_discount_depth_pct
Bánh Kẹo,550,17.0,0.1244,0.1193,13.2,12.7,19.1
Chăm Sóc Bé,34,29.0,0.43,0.5211,53.7,68.4,16.3
Gia Vị,294,35.6,-0.1866,-0.1971,-17.0,-17.9,15.7
Mì - Thực Phẩm Ăn Liền,222,31.2,-0.1119,-0.1272,-10.6,-11.9,14.2
Rau - Củ - Trái Cây,123,13.1,-0.1102,-0.1121,-10.4,-10.6,18.0
Sữa Tươi,330,33.6,-0.1617,-0.1844,-14.9,-16.8,12.5
Thực Phẩm Chế Biến,167,16.1,0.1542,0.1655,16.7,18.0,16.5
Thực Phẩm Khô,170,27.2,0.0454,0.0517,4.6,5.3,15.1
Thực Phẩm Đông Lạnh,131,10.0,-0.2183,-0.2111,-19.6,-19.0,16.2
--- CORRELATION ---,9,,,,,,
